time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/clip_range
16384,34.40625,3,500.0,1,5251,,,,,,,,,,
32768,38.15625,11,500.0,2,2978,0.0005,-0.004977703094482422,-0.0004906922797090374,5,0.0015792723,-0.6919498264789581,820.5796508789062,7226.515739250183,0.0336181640625,0.1
49152,38.375,19,500.0,3,2566,0.0005,0.015469014644622803,-0.001007186182141595,10,0.0015902878,-0.6903565858490766,172.1360321044922,6925.148435115814,0.0521240234375,0.1
65536,43.34,26,500.0,4,2456,0.0005,0.48472362756729126,-0.0011519802352268015,15,0.0018102779,-0.6877224314492196,26.768247604370117,503.7265622884035,0.07666015625,0.1
81920,47.12,34,500.0,5,2360,0.0005,0.7350279986858368,-0.0033693945393679313,20,0.0029431041,-0.6812937890645117,22.152402877807617,241.33546606451273,0.1624755859375,0.1
98304,51.06,42,500.0,6,2316,0.0005,0.9224028959870338,-0.008271412366593723,25,0.0033415405,-0.6725321633741259,1.8784273862838745,30.145826208591462,0.1985595703125,0.1
114688,57.37,50,500.0,7,2254,0.0005,0.9139368012547493,-0.007422166326432489,30,0.0035022483,-0.6640896190423519,3.7339584827423096,29.849860750883817,0.187158203125,0.1
131072,59.17,58,500.0,8,2237,0.0005,0.9504563994705677,-0.009941919978700753,35,0.0038312976,-0.6594671909231693,4.140451431274414,20.49722160771489,0.1976806640625,0.1
147456,70.45,67,500.0,9,2199,0.0005,0.9681233316659927,-0.01079966412835347,40,0.0040472224,-0.6479431283660233,1.5453312397003174,14.3750799048692,0.196435546875,0.1
163840,88.87,75,500.0,10,2158,0.0005,0.9781279191374779,-0.010984253133756283,45,0.0047218776,-0.63571916972287,0.38995879888534546,10.067042855732144,0.20941162109375,0.1
180224,117.93,84,500.0,11,2140,0.0005,0.9859508369117975,-0.011113863802165724,50,0.0049562817,-0.6251668892800808,0.8491142392158508,7.267964869737625,0.23970947265625,0.1
196608,147.18,92,500.0,12,2136,0.0005,0.9899740740656853,-0.010795457974381861,55,0.006267585,-0.6096824295818806,0.3420741558074951,4.5206489270553,0.26307373046875,0.1
212992,171.91,99,500.0,13,2132,0.0005,0.9921879754401743,-0.013356474760803394,60,0.0061277375,-0.588130386127159,0.4768050014972687,2.8149456697516144,0.30784912109375,0.1
