time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/learning_rate,train/clip_fraction,train/loss,train/policy_gradient_loss,train/clip_range,train/value_loss,train/n_updates,train/explained_variance,train/approx_kl
5540,2,16384,38.125,500.0,1,,,,,,,,,,
3282,9,32768,39.65625,500.0,2,-0.6916901716496795,0.0005,0.03681640625,6615.04931640625,-0.0006503173666715156,0.1,54987.41873931885,5,-0.001718282699584961,0.0016620173
2922,16,49152,42.260416666666664,500.0,3,-0.6910136563703417,0.0005,0.03140869140625,1447.2091064453125,-0.00013704113334824796,0.1,21821.14821624756,10,0.01408839225769043,0.0013464479
2753,23,65536,45.98,500.0,4,-0.6878347863443196,0.0005,0.05594482421875,1594.05517578125,-0.0007331666180107277,0.1,16520.538652467727,15,0.08230173587799072,0.001683427
2662,30,81920,48.62,500.0,5,-0.6798677451908588,0.0005,0.18988037109375,51.57244110107422,-0.007033104647871369,0.1,315.49240537285806,20,0.7794876843690872,0.0032891538
2598,37,98304,48.97,500.0,6,-0.6712782216258347,0.0005,0.2505126953125,4.574814796447754,-0.015407397048329585,0.1,48.58702123761177,25,0.9122402667999268,0.0037623276
2562,44,114688,45.8,500.0,7,-0.65752680064179,0.0005,0.22601318359375,2.2082207202911377,-0.013621812149722246,0.1,27.99737145677209,30,0.9452975019812584,0.003901509
2534,51,131072,44.11,500.0,8,-0.6475894397124649,0.0005,0.2293701171875,1.1827199459075928,-0.01292098654594156,0.1,14.833985791727901,35,0.9671744965016842,0.0041185194
2514,58,147456,47.44,500.0,9,-0.629514756333083,0.0005,0.2101806640625,1.0958918333053589,-0.010716302022410673,0.1,9.800043202377855,40,0.977976618334651,0.0043253195
2493,65,163840,59.19,500.0,10,-0.6176146415993571,0.0005,0.19112548828125,0.7031418681144714,-0.008510277187815518,0.1,7.019188824202866,45,0.9832067880779505,0.0044839047
2479,72,180224,77.31,500.0,11,-0.6037058029789477,0.0005,0.1705810546875,0.44138604402542114,-0.006195997831309796,0.1,5.65847513852641,50,0.9875307818874717,0.004581877
2464,79,196608,93.13,500.0,12,-0.592934755794704,0.0005,0.178271484375,0.3743327558040619,-0.005288743439268728,0.1,4.974675037711859,55,0.9894896103069186,0.0037384753
2451,86,212992,105.48,500.0,13,-0.5857234608847648,0.0005,0.17156982421875,0.3933643102645874,-0.004497866107703885,0.1,4.028907208703458,60,0.9916720986366272,0.003783069
2445,93,229376,126.35,500.0,14,-0.5744834892451763,0.0005,0.13624267578125,0.28766241669654846,-0.0033181138254803955,0.1,3.954943906655535,65,0.992284735199064,0.0031210864
2437,100,245760,143.98,500.0,15,-0.5695172865875066,0.0005,0.1575439453125,0.3598615229129791,-0.0018954821320221527,0.1,3.4793719050940126,70,0.9920566892251372,0.003513332
2432,107,262144,167.76,500.0,16,-0.5634324816986919,0.0005,0.18282470703125,0.1911737322807312,-0.004473951592899539,0.1,3.5344082220923156,75,0.9925490906462073,0.003628246
2422,114,278528,193.68,500.0,17,-0.5603620618348941,0.0005,0.19581298828125,0.232893168926239,-0.004502261805828312,0.1,3.102841918403283,80,0.9934457866474986,0.00394643
2416,122,294912,226.0,500.0,18,-0.5522653853986412,0.0005,0.1806396484375,0.10768521577119827,-0.0030953696314099943,0.1,2.42529910618905,85,0.995173298753798,0.0044656983
2412,129,311296,265.38,500.0,19,-0.5315470850560814,0.0005,0.17265625,0.29790154099464417,-0.003923370029406214,0.1,2.303275671415031,90,0.9957812502980232,0.004156825
2408,136,327680,311.29,500.0,20,-0.5214964798884466,0.0005,0.18834228515625,0.18532168865203857,-0.0023194903342300677,0.1,1.9631511685904115,95,0.9959625569172204,0.0038852675
2407,142,344064,366.9,500.0,21,-0.47989673491101714,0.0005,0.1786865234375,0.2120518684387207,-0.0029311388034329866,0.1,1.2299476542277261,100,0.9969657531473786,0.0041220617
2404,149,360448,424.28,500.0,22,-0.46617596929427235,0.0005,0.19556884765625,0.08829841017723083,-0.0019193472775441479,0.1,1.0973301311489194,105,0.996644435916096,0.0042315344
