time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/explained_variance,train/clip_range,train/loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/policy_gradient_loss
1,16384,500.0,5266,3,32.15625,,,,,,,,,,
2,32768,500.0,3030,10,34.21875,0.006486713886260986,0.1,124.65328979492188,5,2608.5597670555117,0.0017206011,0.069482421875,-0.6910751939285547,0.0005,-0.0010705349253839814
3,49152,500.0,2667,18,38.25,-0.0002238750457763672,0.1,29.666095733642578,10,441.771993803978,0.0020657969,0.08017578125,-0.6884557838086038,0.0005,-0.0015572602686006575
4,65536,500.0,2515,26,45.14,0.16352063417434692,0.1,53.81412124633789,15,286.78817686140536,0.0022238335,0.0938232421875,-0.6833539794199168,0.0005,-0.002811411124548613
5,81920,500.0,2435,33,49.83,0.6276896893978119,0.1,3.5834293365478516,20,76.67310627549887,0.0023623353,0.0984375,-0.6761846492998302,0.0005,-0.0037678145639802097
6,98304,500.0,2385,41,53.02,0.8343257904052734,0.1,2.9997918605804443,25,46.06642643213272,0.0025889096,0.12529296875,-0.6689620613586158,0.0005,-0.0055318093131973
7,114688,500.0,2346,48,60.21,0.8563346564769745,0.1,3.7511990070343018,30,53.05748509317637,0.0031748824,0.14420166015625,-0.6574970599263906,0.0005,-0.005237716035844641
8,131072,500.0,2323,56,66.65,0.9243216067552567,0.1,3.921992778778076,35,24.833990290760994,0.0033402336,0.1462646484375,-0.6482182165142149,0.0005,-0.007315447603104985
9,147456,500.0,2302,64,78.99,0.9548307992517948,0.1,2.0354230403900146,40,21.08033189997077,0.0040104454,0.18050537109375,-0.6380463371053338,0.0005,-0.00850565056425694
10,163840,500.0,2284,71,102.07,0.9712455403059721,0.1,1.2652349472045898,45,14.8819884583354,0.0035435157,0.1784912109375,-0.6288253864273429,0.0005,-0.00850170054109185
11,180224,500.0,2268,79,140.81,0.9813661966472864,0.1,0.9162243604660034,50,10.895671690814197,0.004280338,0.2080078125,-0.6179741500876844,0.0005,-0.009227231377553834
12,196608,500.0,2247,87,183.62,0.9870059071108699,0.1,0.5677201151847839,55,9.094145886041224,0.00462384,0.22418212890625,-0.5976375178433955,0.0005,-0.01047742328773893
13,212992,500.0,2238,95,223.68,0.9831324312835932,0.1,0.40908148884773254,60,8.506610925775021,0.0055469195,0.25732421875,-0.5801741846837103,0.0005,-0.006858375089086622
14,229376,500.0,2211,103,279.53,0.9929631953127682,0.1,0.3519655466079712,65,3.5144653836265207,0.0053054206,0.241748046875,-0.5548284921329468,0.0005,-0.010070674692724425
15,245760,500.0,2182,112,348.41,0.9933053040876985,0.1,0.21964451670646667,70,2.170026718103327,0.005492978,0.2589599609375,-0.5206858225632459,0.0005,-0.011016793580893136
16,262144,500.0,2134,122,413.05,0.9946479867212474,0.1,0.019071944057941437,75,0.659182979655452,0.004939492,0.1974609375,-0.48323379915673287,0.0005,-0.007955639547981263
17,278528,500.0,2092,133,467.7,0.992814130615443,0.1,0.042782507836818695,80,0.3460476696927799,0.004575505,0.14793701171875,-0.448589425557293,0.0005,-0.006030304865998914
18,294912,500.0,2083,141,486.73,0.9514893926680088,0.1,0.021017488092184067,85,0.08406630495301215,0.0026315153,0.0877685546875,-0.4127515669213608,0.0005,-0.002588906534583657
19,311296,500.0,2067,150,498.4,0.9781867656856775,0.1,0.0009608631953597069,90,0.08999269765408827,0.0035642923,0.0944091796875,-0.3953427774598822,0.0005,-0.0031555565119560924
20,327680,500.0,2040,160,500.0,0.9895906466990709,0.1,-0.0005927595775574446,95,0.08064992705258192,0.0040969336,0.1006591796875,-0.37358338173944505,0.0005,-0.0028091515650885412
21,344064,500.0,2017,170,500.0,0.9793930761516094,0.1,0.009427139535546303,100,0.06953314793281606,0.0019174898,0.0692138671875,-0.3420500879874453,0.0005,-0.001284511226185714
22,360448,500.0,2011,179,500.0,0.9688747450709343,0.1,-0.003043044824153185,105,0.07482785298998351,0.0028074551,0.072607421875,-0.3199547209776938,0.0005,-0.0011708464684488718
23,376832,500.0,2008,187,500.0,0.9649946987628937,0.1,0.016365425661206245,110,0.06257019098702585,0.0022541042,0.07264404296875,-0.2967414485989138,0.0005,-0.0007268523805578298
24,393216,500.0,2001,196,500.0,0.9588717594742775,0.1,0.0047187404707074165,115,0.05403412192645192,0.0017839912,0.05535888671875,-0.2712171695427969,0.0005,-0.0009389756156451768
25,409600,500.0,2001,204,500.0,0.9756381884217262,0.1,-0.0032023864332586527,120,0.0539784834778402,0.0019971873,0.06328125,-0.25789546554442494,0.0005,-0.0001069159729013336
26,425984,500.0,1992,213,500.0,0.9699660036712885,0.1,0.0077612693421542645,125,0.0546299559824547,0.0009797461,0.04447021484375,-0.2615052341367118,0.0005,0.0004043694514166418
27,442368,500.0,1996,221,500.0,0.9695480614900589,0.1,0.008563550189137459,130,0.05336378444044385,0.0016538284,0.06717529296875,-0.25157852278789505,0.0005,-0.00044391377587089665
28,458752,500.0,2002,229,500.0,0.9724352397024632,0.1,0.004165126942098141,135,0.055824573223253536,0.000978015,0.059716796875,-0.24247838424053042,0.0005,0.0006268981232096848
29,475136,500.0,2006,236,500.0,0.9657332971692085,0.1,0.00441373698413372,140,0.05811255491844349,0.0015873486,0.06304931640625,-0.24780880054458976,0.0005,0.00013296357910803637
30,491520,500.0,2010,244,500.0,0.9666279815137386,0.1,0.0034494097344577312,145,0.06643262762481754,0.0011531255,0.05263671875,-0.25038363786879925,0.0005,0.000943085180279013
31,507904,500.0,2013,252,500.0,0.9680121913552284,0.1,0.001650133403018117,150,0.055478258166294835,0.0010300633,0.0505126953125,-0.25353138452628626,0.0005,0.0007577865847451903
