time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/n_updates
2,1,16384,500.0,5860,35.34375,,,,,,,,,,
10,2,32768,500.0,3261,39.15625,0.0018649469,-0.0103224515914917,0.1,-0.6915026305709034,531.2271728515625,11102.903199005126,0.0689208984375,-0.0014414599527299288,0.0005,5
18,3,49152,500.0,2728,42.708333333333336,0.001997324,0.00043201446533203125,0.1,-0.6877586592920124,55.76305389404297,786.9353274226189,0.099951171875,-0.0017493017485321616,0.0005,10
25,4,65536,500.0,2542,46.17,0.002374593,0.37930697202682495,0.1,-0.684090910339728,39.050254821777344,504.7822467684746,0.127099609375,-0.0026752863144793083,0.0005,15
33,5,81920,500.0,2482,51.62,0.002768692,0.8107322305440903,0.1,-0.6776104150339961,6.455739974975586,135.0779888048768,0.15413818359375,-0.003467182421263715,0.0005,20
40,6,98304,500.0,2451,57.05,0.0031325254,0.8488196730613708,0.1,-0.6669910336844623,2.103888511657715,144.6890703506768,0.15828857421875,-0.0054179333466890965,0.0005,25
47,7,114688,500.0,2428,69.62,0.003384774,0.9621044658124447,0.1,-0.6543723761104048,1.2717469930648804,15.366442527621984,0.16063232421875,-0.007311080605177267,0.0005,30
54,8,131072,500.0,2389,75.17,0.0033443405,0.9784752186387777,0.1,-0.6449165378697217,1.1149030923843384,12.292278434336186,0.14549560546875,-0.008557515343090927,0.0005,35
62,9,147456,500.0,2363,86.24,0.0039448477,0.9847413096576929,0.1,-0.6410076558124274,0.5965854525566101,8.36927661728114,0.17479248046875,-0.009011137219022202,0.0005,40
69,10,163840,500.0,2358,103.37,0.0052950657,0.9879869511350989,0.1,-0.6249701143242419,0.41089656949043274,7.485755423083901,0.2043212890625,-0.009865897000963741,0.0005,45
76,11,180224,500.0,2369,127.28,0.004563854,0.9917561747133732,0.1,-0.6135247062891722,0.416703999042511,4.466583473980426,0.18253173828125,-0.006702096370827348,0.0005,50
82,12,196608,500.0,2373,150.7,0.0040614335,0.9929966237396002,0.1,-0.608117438852787,0.24143776297569275,4.343984912708402,0.18192138671875,-0.005079430833575316,0.0005,55
90,13,212992,500.0,2364,166.88,0.004670062,0.9945404957979918,0.1,-0.5932513683103025,0.2622836232185364,3.2626637554261833,0.1961181640625,-0.004241716814976826,0.0005,60
97,14,229376,500.0,2350,188.12,0.0043845866,0.9962930504698306,0.1,-0.5906641117297113,0.07408615946769714,2.3884500886546447,0.1890380859375,-0.003914441972665372,0.0005,65
105,15,245760,500.0,2335,204.09,0.0046476177,0.9963043443858624,0.1,-0.5753366670571267,0.16899138689041138,2.478107403591275,0.20819091796875,-0.003757470634081983,0.0005,70
112,16,262144,500.0,2331,227.04,0.004836822,0.9970202781260014,0.1,-0.5632806729292497,0.1659853160381317,1.8434826685115695,0.21007080078125,-0.0022604715480156303,0.0005,75
119,17,278528,500.0,2331,265.03,0.0056261895,0.9967321448493749,0.1,-0.5544052086072042,0.19263474643230438,1.887578176765237,0.24442138671875,-0.00174926205927477,0.0005,80
126,18,294912,500.0,2325,321.04,0.004827291,0.9978051173966378,0.1,-0.5281200805911794,0.040028903633356094,1.3462789874174632,0.2197265625,-0.0044326973975330475,0.0005,85
134,19,311296,500.0,2318,389.45,0.0059175133,0.9983895500190556,0.1,-0.48187714915256946,0.0395616739988327,0.7505192266486119,0.2240966796875,-0.003833308205139474,0.0005,90
140,20,327680,500.0,2325,436.21,0.0052001122,0.9980211309157312,0.1,-0.4070487921591848,0.04130982235074043,0.3480407610419206,0.131494140625,-0.0035819112656099604,0.0005,95
