time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/approx_kl,train/explained_variance,train/loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/value_loss
3,4209,500.0,16384,28.96875,1,,,,,,,,,,
13,2498,500.0,32768,34.125,2,0.0005,0.0022314976,0.0008989572525024414,8.260645866394043,-0.6911664764862507,0.1,-0.0032986709467877516,0.111181640625,5,200.4411012709141
22,2223,500.0,49152,35.041666666666664,3,0.0005,0.0027962301,0.4083935022354126,1.5951998233795166,-0.6867007189430296,0.1,-0.0054310038349285605,0.1616455078125,10,60.5819969728589
31,2089,500.0,65536,40.47,4,0.0005,0.004045867,0.7539662569761276,0.9531433582305908,-0.6747237481642514,0.1,-0.01219222361323773,0.26346435546875,15,20.10286000482738
41,1950,500.0,81920,39.55,5,0.0005,0.0043978533,0.8453543037176132,0.6307674050331116,-0.6583607378881424,0.1,-0.014570820526205352,0.28218994140625,20,9.725884796492755
51,1894,500.0,98304,41.68,6,0.0005,0.005412744,0.8734376132488251,0.34507986903190613,-0.6385095230769366,0.1,-0.012094086838988004,0.289990234375,25,7.398080809507519
61,1857,500.0,114688,38.27,7,0.0005,0.0055854768,0.9242514967918396,0.210417240858078,-0.6213836569339037,0.1,-0.007668485785870871,0.23848876953125,30,3.538969921832904
71,1831,500.0,131072,38.93,8,0.0005,0.0062108813,0.9570910483598709,0.26560676097869873,-0.6039219925645739,0.1,-0.0054623540653665256,0.2091064453125,35,3.226751143857837
81,1807,500.0,147456,36.8,9,0.0005,0.008128425,0.9777640607208014,0.12963064014911652,-0.5779156974516809,0.1,-0.0050884950793260945,0.168408203125,40,2.7327237702440472
91,1792,500.0,163840,39.43,10,0.0005,0.0075595654,0.988630099222064,0.09594592452049255,-0.552669959818013,0.1,-0.0027361941274648416,0.1628662109375,45,1.8505880736745894
101,1782,500.0,180224,41.92,11,0.0005,0.0053911177,0.9954065592028201,0.2208138406276703,-0.5352027900749817,0.1,-0.0009808906832404318,0.18968505859375,50,1.126019930653274
110,1771,500.0,196608,43.45,12,0.0005,0.0047719222,0.9948946954682469,0.07293063402175903,-0.5222009883727878,0.1,0.0011674323824991007,0.178271484375,55,0.8394671109155751
119,1775,500.0,212992,43.13,13,0.0005,0.004058283,0.9980260024312884,0.046294670552015305,-0.4942666083108634,0.1,-0.0002953741137389443,0.19964599609375,60,0.6695182626601308
129,1777,500.0,229376,42.74,14,0.0005,0.0050558904,0.9984077202389017,0.07407928258180618,-0.4664496454410255,0.1,-0.0005027858815083164,0.20484619140625,65,0.6975643343408592
138,1774,500.0,245760,43.18,15,0.0005,0.0067651873,0.9981731278821826,0.062041059136390686,-0.4553584082052112,0.1,0.0008351711432624143,0.224658203125,70,0.7139618245011661
148,1766,500.0,262144,41.98,16,0.0005,0.0066174255,0.9989306358620524,0.045269161462783813,-0.43330346040893347,0.1,-0.0003816198715867358,0.211279296875,75,0.6861629128223286
157,1763,500.0,278528,41.95,17,0.0005,0.0054661785,0.9990862543345429,0.09396922588348389,-0.4105974432779476,0.1,-0.0004935190838295967,0.20609130859375,80,0.7027067588351201
168,1753,500.0,294912,41.71,18,0.0005,0.0050803605,0.999111883866135,0.05400831252336502,-0.39080640689935536,0.1,0.0011821726305697665,0.19930419921875,85,0.5242260516824899
178,1746,500.0,311296,42.3,19,0.0005,0.009950946,0.9991388842463493,0.02510945498943329,-0.37541019117925317,0.1,0.003970204425422707,0.19722900390625,90,0.45100755169405604
187,1746,500.0,327680,40.88,20,0.0005,0.00890751,0.9992308734217659,0.12560443580150604,-0.3629164139623754,0.1,0.003186483534045692,0.1860107421875,95,0.44080476358067244
197,1745,500.0,344064,38.23,21,0.0005,0.008055589,0.999170740833506,0.03636307269334793,-0.3380777683574706,0.1,0.003580988135399821,0.17711181640625,100,0.41435687702323776
206,1746,500.0,360448,35.58,22,0.0005,0.011108058,0.9992616036906838,0.05145115777850151,-0.3241481584729627,0.1,0.004081209862306423,0.19205322265625,105,0.43303895509743595
215,1749,500.0,376832,32.84,23,0.0005,0.006763116,0.9990789456060156,0.006872762925922871,-0.3028171771671623,0.1,0.006726000219350681,0.1783935546875,110,0.3475975163295516
