time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/loss,train/value_loss
16384,4337,3,1,500.0,35.84375,,,,,,,,,,
32768,2524,12,2,500.0,38.140625,-0.0030051970161366626,0.0005,-0.6910404283553362,0.0020090341567993164,0.1,0.09901123046875,5,0.0021223282,13.689874649047852,319.7932858526707
49152,2180,22,3,500.0,41.677083333333336,-0.002581495436788828,0.0005,-0.6879980807192624,0.19494688510894775,0.1,0.08232421875,10,0.0019437007,3.058842420578003,77.68481694459915
65536,2091,31,4,500.0,45.55,-0.006151792177115567,0.0005,-0.6809982514474541,0.7691347599029541,0.1,0.14609375,15,0.002604769,1.5843409299850464,19.31216912344098
81920,2052,39,5,500.0,48.8,-0.009013431710627628,0.0005,-0.6757242835126818,0.8895346447825432,0.1,0.1756103515625,20,0.003012871,0.8689162135124207,15.050228936970234
98304,2021,48,6,500.0,51.34,-0.010191145242242784,0.0005,-0.6661684199236333,0.9356727823615074,0.1,0.20567626953125,25,0.0036797894,0.6025975346565247,8.950259429216384
114688,1997,57,7,500.0,71.39,-0.008714642997256305,0.0005,-0.656087150098756,0.9521747268736362,0.1,0.1752197265625,30,0.0033797026,0.570307195186615,7.455318472534418
131072,1984,66,8,500.0,105.72,-0.01083255544617714,0.0005,-0.6398923477623611,0.9586700759828091,0.1,0.19705810546875,35,0.0044856155,1.0343453884124756,7.4078126704320315
147456,1975,74,9,500.0,156.64,-0.010579601714016462,0.0005,-0.6214268632233143,0.9710840359330177,0.1,0.234716796875,40,0.004930217,0.26543039083480835,5.833007983956486
163840,1962,83,10,500.0,220.48,-0.012689966605466906,0.0005,-0.5972991734277457,0.9803234450519085,0.1,0.2972412109375,45,0.0059129097,0.36147481203079224,4.041992765758186
180224,1959,91,11,500.0,338.11,-0.01437521287225536,0.0005,-0.5554822803242132,0.9832539446651936,0.1,0.328125,50,0.007995868,0.06555789709091187,1.715108304237947
196608,1956,100,12,500.0,425.87,-0.011069279915500375,0.0005,-0.49637048083823176,0.9699661992490292,0.1,0.27147216796875,55,0.009154254,0.015472039580345154,0.3558757757709827
212992,1948,109,13,500.0,485.92,-0.010143442728440278,0.0005,-0.4358133368194103,0.9189515635371208,0.1,0.20814208984375,60,0.010380111,-0.013836594298481941,0.07769194141219486
229376,1939,118,14,500.0,500.0,-0.006994858926736925,0.0005,-0.38334132547024635,0.8822072967886925,0.1,0.139404296875,65,0.010401866,-0.0025509577244520187,0.05290626501519
245760,1938,126,15,500.0,500.0,-0.006457760593184503,0.0005,-0.3259625706938095,0.8541919589042664,0.1,0.1258056640625,70,0.008474646,-0.004388595465570688,0.033432366469787665
262144,1932,135,16,500.0,500.0,-0.0054242787508883335,0.0005,-0.2835554852965288,0.7930052578449249,0.1,0.12498779296875,75,0.0074825482,-0.00658369529992342,0.02977420268325659
278528,1902,146,17,500.0,500.0,-0.002497096988008707,0.0005,-0.26517995580798015,0.772219717502594,0.1,0.0978515625,80,0.0041077984,0.004501580260694027,0.02735590895244968
294912,1889,156,18,500.0,500.0,-0.0015144247337048,0.0005,-0.24315536799840629,0.7485285103321075,0.1,0.060595703125,85,0.0028874464,-0.0039109098725020885,0.02570531954006583
311296,1891,164,19,500.0,500.0,-0.00044692353412756347,0.0005,-0.24405209270771594,0.7966411858797073,0.1,0.0596923828125,90,0.0016146254,0.0018939345609396696,0.024578942733023725
327680,1893,173,20,500.0,500.0,-0.00019517063010425771,0.0005,-0.23911930839531123,0.8283034563064575,0.1,0.0630126953125,95,0.0016729533,-0.002255865139886737,0.022973247247136896
344064,1890,182,21,500.0,500.0,0.00044619786622206447,0.0005,-0.22597957396646962,0.7909955978393555,0.1,0.0607421875,100,0.001247356,0.000623846601229161,0.02738299886968889
360448,1889,190,22,500.0,500.0,0.0008971985665084503,0.0005,-0.22566230100928805,0.7711847424507141,0.1,0.05914306640625,105,0.0014656822,0.007828287780284882,0.031918565570595095
376832,1885,199,23,500.0,500.0,0.0005870748773304513,0.0005,-0.22959285365068355,0.8040380775928497,0.1,0.05836181640625,110,0.0009372075,0.0019077525939792395,0.02423495726488909
393216,1882,208,24,500.0,500.0,0.0008440546407655347,0.0005,-0.22666740802815183,0.804696261882782,0.1,0.074267578125,115,0.0012872857,0.0031926631927490234,0.02686777890303347
409600,1882,217,25,500.0,500.0,9.592082687959191e-05,0.0005,-0.22131431793095543,0.7943530827760696,0.1,0.07723388671875,120,0.0018145116,0.0033290369901806116,0.02486403713728578
425984,1874,227,26,500.0,500.0,0.0006289743850175,0.0005,-0.22791821686550975,0.8148587495088577,0.1,0.064208984375,125,0.0016219409,0.014651130884885788,0.021014461246068095
442368,1872,236,27,500.0,500.0,8.216531969083008e-05,0.0005,-0.22240767852636054,0.7997143417596817,0.1,0.081396484375,130,0.0018700808,0.007361265830695629,0.021450934105268972
458752,1871,245,28,500.0,500.0,0.0006655981738731498,0.0005,-0.21640101998345926,0.7848022133111954,0.1,0.06143798828125,135,0.0009512816,0.00354442629031837,0.021018263343830768
475136,1870,254,29,500.0,500.0,0.0008711870290426304,0.0005,-0.22495053010061383,0.7772929668426514,0.1,0.07227783203125,140,0.001419347,0.0007991082384251058,0.024504402197089804
491520,1864,263,30,500.0,500.0,0.0005712277932616416,0.0005,-0.2100765378214419,0.7661589831113815,0.1,0.06009521484375,145,0.0012952677,-0.0006326432339847088,0.023733715913476772
507904,1861,272,31,500.0,500.0,0.0009013520329517633,0.0005,-0.20641619949601592,0.7678466290235519,0.1,0.05517578125,150,0.0011347098,0.00861162319779396,0.023036179961491144
