time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/n_updates,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss
16384,3,500.0,4804,31.125,1,,,,,,,,,,
32768,12,500.0,2695,31.390625,2,0.011939585208892822,5,0.0005,6.292456150054932,-0.0020742251246701924,230.49801297485828,0.0028288334,0.08143310546875,0.1,-0.6907163318712264
49152,20,500.0,2382,31.583333333333332,3,0.5351778864860535,10,0.0005,2.1392359733581543,-0.0036083193126614788,52.683891663700344,0.0021499782,0.0973876953125,0.1,-0.6867880052421242
65536,29,500.0,2253,32.38,4,0.6641975939273834,15,0.0005,2.9031388759613037,-0.0040212335738033286,45.133185245841744,0.0026587257,0.13070068359375,0.1,-0.679831870412454
81920,37,500.0,2188,33.79,5,0.8378589153289795,20,0.0005,1.550050139427185,-0.0072651359747396786,30.7840043194592,0.00325023,0.17138671875,0.1,-0.6653597317170352
98304,45,500.0,2143,36.86,6,0.9177013263106346,25,0.0005,1.1054171323776245,-0.00987023253874213,13.570058941096068,0.0040187305,0.21029052734375,0.1,-0.6500249794684351
114688,54,500.0,2109,37.99,7,0.9023435711860657,30,0.0005,0.49476704001426697,-0.007009697167268314,17.80247305557132,0.0053345608,0.27913818359375,0.1,-0.6395148626063019
131072,62,500.0,2083,38.83,8,0.9597678035497665,35,0.0005,0.44161754846572876,-0.0066267266249269595,10.37509652916342,0.0054642027,0.23250732421875,0.1,-0.6256955460179597
147456,71,500.0,2064,41.12,9,0.9519459418952465,40,0.0005,1.0541365146636963,-0.004868825730045501,14.645597256161272,0.004912993,0.24259033203125,0.1,-0.6228141045663506
163840,79,500.0,2054,47.23,10,0.9486912228167057,45,0.0005,0.42345505952835083,-0.0033118133649622907,17.40057340506464,0.0055692606,0.25810546875,0.1,-0.6153644967358559
180224,88,500.0,2035,68.39,11,0.9814351126551628,50,0.0005,0.2590591609477997,-0.0048051832447526975,5.396899494947865,0.0055264425,0.24442138671875,0.1,-0.580099466163665
196608,96,500.0,2028,89.3,12,0.9773991666734219,55,0.0005,0.9742947220802307,-0.002840870503132464,6.198781305365264,0.0046004485,0.22156982421875,0.1,-0.5894452637527138
212992,105,500.0,2023,111.38,13,0.9861549278721213,60,0.0005,0.3392019271850586,-0.0034752540072076955,3.397399131814018,0.0051224288,0.2081787109375,0.1,-0.568357678456232
229376,113,500.0,2017,127.5,14,0.9867754504084587,65,0.0005,0.23145785927772522,-0.0005286140120915661,3.2639533674460837,0.004859523,0.17640380859375,0.1,-0.553811023500748
245760,122,500.0,2006,139.52,15,0.987620354630053,70,0.0005,0.2934323847293854,-0.0004145998194871936,2.521988986921497,0.003451508,0.1257080078125,0.1,-0.5290978890145197
262144,132,500.0,1985,150.64,16,0.986844933591783,75,0.0005,0.2854735553264618,0.0004821043311494577,2.282020317041315,0.002541267,0.11468505859375,0.1,-0.5073635851964354
278528,141,500.0,1962,153.66,17,0.990623545832932,80,0.0005,0.17929688096046448,0.0007095047596521909,1.9450167993316427,0.0024250937,0.1134033203125,0.1,-0.49832113373558967
294912,150,500.0,1958,155.9,18,0.9884702786803246,85,0.0005,0.2567442059516907,0.0017897020516102202,2.38038844645489,0.003572072,0.12255859375,0.1,-0.4920061668381095
311296,159,500.0,1955,154.72,19,0.9874153854325414,90,0.0005,0.3303547501564026,0.00048368035245403005,2.276552048115991,0.0034923067,0.12010498046875,0.1,-0.47786352017428724
327680,167,500.0,1955,156.67,20,0.9854744216427207,95,0.0005,0.42428070306777954,0.0016134212279212078,2.6594835647032595,0.0022651306,0.1025390625,0.1,-0.4576471850043163
344064,175,500.0,1956,155.03,21,0.985581130720675,100,0.0005,0.08484135568141937,0.0014525496240821666,2.461531858588569,0.0030413216,0.1214111328125,0.1,-0.45590244261547924
360448,185,500.0,1946,152.59,22,0.9849244430661201,105,0.0005,0.11124029755592346,0.0010262960659929376,2.514413047186099,0.002396091,0.09322509765625,0.1,-0.45429907434154304
376832,193,500.0,1944,155.15,23,0.9888283917680383,110,0.0005,0.09316527843475342,0.0012459775476600043,2.13608940775739,0.0027310015,0.1066162109375,0.1,-0.44532519762869927
393216,202,500.0,1943,155.48,24,0.9857009742408991,115,0.0005,0.24614468216896057,0.0017440931896089752,1.8667511461506365,0.0031455143,0.12200927734375,0.1,-0.4430804249830544
409600,210,500.0,1944,156.68,25,0.9882173603400588,120,0.0005,0.1750486046075821,0.00163430774855442,2.2293090794526504,0.0023174416,0.1130126953125,0.1,-0.43596798775251955
425984,219,500.0,1941,155.51,26,0.9890468651428819,125,0.0005,0.20868921279907227,0.0007747940367607952,1.995774427423021,0.0022851003,0.098046875,0.1,-0.42896052743308244
442368,227,500.0,1940,155.11,27,0.988265941850841,130,0.0005,0.342207133769989,0.0007138657812902239,2.160341100936057,0.0026989775,0.105224609375,0.1,-0.4230591513449326
458752,236,500.0,1941,159.36,28,0.9866281840950251,135,0.0005,0.4371909201145172,0.0009390826341586945,2.590076055843383,0.00520654,0.1095458984375,0.1,-0.4150826740078628
475136,244,500.0,1941,163.17,29,0.9864673335105181,140,0.0005,0.14931519329547882,0.002280445950327703,2.455399505782407,0.002940902,0.10181884765625,0.1,-0.38720414370764045
491520,253,500.0,1937,166.84,30,0.9891241667792201,145,0.0005,0.02588045597076416,0.0014941006096705679,2.462510775559349,0.0045462893,0.136181640625,0.1,-0.4045544405467808
507904,262,500.0,1935,161.32,31,0.9888326162472367,150,0.0005,0.24175748229026794,0.0015166756525104574,2.378176858474035,0.0026976154,0.1017822265625,0.1,-0.391686820727773
