time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/learning_rate,train/n_updates,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range
4922,500.0,1,16384,34.4375,3,,,,,,,,,,
2916,500.0,2,32768,32.21875,11,0.00289619,0.0005,5,0.010316848754882812,14.122807502746582,0.1405029296875,418.3364236831665,-0.003318363850303285,-0.690528578311205,0.1
2556,500.0,3,49152,34.09375,19,0.0022033537,0.0005,10,0.15798568725585938,2.3835232257843018,0.0678466796875,114.86728634238243,-0.0015171690423812834,-0.6882132904604077,0.1
2411,500.0,4,65536,36.94,27,0.0024845176,0.0005,15,0.7686434686183929,3.145035743713379,0.12247314453125,34.936454232782125,-0.005031242651602952,-0.684172244463116,0.1
2335,500.0,5,81920,42.59,35,0.002985112,0.0005,20,0.9128122478723526,0.9447335004806519,0.16842041015625,14.085360729321838,-0.008632927621511044,-0.6765623337123543,0.1
2266,500.0,6,98304,47.49,43,0.003843045,0.0005,25,0.9462982639670372,0.97759610414505,0.21275634765625,10.935939178243279,-0.010725618418655358,-0.6641402451787144,0.1
2237,500.0,7,114688,56.44,51,0.004062652,0.0005,30,0.9617112800478935,0.6027479767799377,0.207568359375,7.8867997726425525,-0.009931321268231841,-0.6537874842993915,0.1
2162,500.0,8,131072,74.55,60,0.004628113,0.0005,35,0.9768113233149052,0.43990880250930786,0.20777587890625,6.358196451514959,-0.010305788718869734,-0.6345292563084513,0.1
2138,500.0,9,147456,94.86,68,0.004911347,0.0005,40,0.9871936915442348,0.368656188249588,0.22183837890625,4.2599168853834275,-0.010903182813126477,-0.6209935565944761,0.1
2103,500.0,10,163840,112.28,77,0.005924153,0.0005,45,0.9908051742240787,0.24855588376522064,0.26463623046875,3.291759782191366,-0.010041908518905985,-0.6066029536072165,0.1
2081,500.0,11,180224,138.31,86,0.0058907443,0.0005,50,0.9915850972756743,0.18650275468826294,0.2520751953125,2.738691837107763,-0.007394889277020411,-0.5948521775659174,0.1
2082,500.0,12,196608,154.29,94,0.006029171,0.0005,55,0.9953601555898786,0.09754882752895355,0.2591064453125,1.673675391310826,-0.005855581685864308,-0.57172872251831,0.1
2068,500.0,13,212992,183.98,102,0.005658602,0.0005,60,0.996769007993862,0.026986680924892426,0.28770751953125,0.6913465671706944,-0.005495175098258187,-0.5522386811673641,0.1
2058,500.0,14,229376,220.18,111,0.0073956214,0.0005,65,0.9962672931142151,0.012933304533362389,0.257666015625,0.4297737962624524,-0.002424982098000328,-0.523745968262665,0.1
2059,500.0,15,245760,282.92,119,0.007644919,0.0005,70,0.994304568041116,-0.001176660880446434,0.2451171875,0.17946946779557038,-0.00484599120409257,-0.47847147900611164,0.1
2061,500.0,16,262144,368.09,127,0.005358724,0.0005,75,0.9903392475098372,-0.0024279248900711536,0.1616455078125,0.10366513296903576,-0.0033782515931306987,-0.44300890155136585,0.1
2062,500.0,17,278528,443.24,135,0.004116312,0.0005,80,0.9750519413501024,0.008015216328203678,0.10179443359375,0.10120727307366906,-0.0037143765850487396,-0.38482412942685185,0.1
2056,500.0,18,294912,490.82,143,0.002299458,0.0005,85,0.9432398825883865,0.015137420035898685,0.07528076171875,0.06080812755317311,-0.0032731245062677774,-0.3571566610829905,0.1
2058,500.0,19,311296,499.81,151,0.002098749,0.0005,90,0.9537701159715652,0.0010706353932619095,0.07916259765625,0.047174724511569364,-0.003473496518745378,-0.3285221746773459,0.1
2051,500.0,20,327680,500.0,159,0.0021254306,0.0005,95,0.9132445752620697,-0.0006173653528094292,0.0681640625,0.042811427878041285,-0.002263318598306796,-0.3093782038311474,0.1
2038,500.0,21,344064,500.0,168,0.0019868088,0.0005,100,0.9255959168076515,-0.003590739332139492,0.05888671875,0.03734616089423071,-0.0016158390571945347,-0.2756669201888144,0.1
2026,500.0,22,360448,500.0,177,0.0022316645,0.0005,105,0.935672715306282,0.0006429057102650404,0.08175048828125,0.043005444975278806,-0.0009231363613253051,-0.2638113977154717,0.1
2017,500.0,23,376832,500.0,186,0.0018544144,0.0005,110,0.9390115886926651,0.0017791774589568377,0.05723876953125,0.039330523262105996,-0.00012674151330429594,-0.24909811527468265,0.1
2011,500.0,24,393216,500.0,195,0.0017709258,0.0005,115,0.9452917389571667,0.005532683804631233,0.06151123046875,0.03441261068228414,-0.00017942370068340096,-0.2506546709337272,0.1
2004,500.0,25,409600,500.0,204,0.0017940295,0.0005,120,0.9419479444622993,0.0009777257218956947,0.0693603515625,0.040212575605255554,0.0002662218220393697,-0.24841130385175347,0.1
2000,500.0,26,425984,500.0,212,0.0008494231,0.0005,125,0.9197805970907211,-0.00432645995169878,0.04857177734375,0.03509787762432097,0.00048235650847345825,-0.23581868604524062,0.1
2000,500.0,27,442368,500.0,221,0.0011815357,0.0005,130,0.9043778851628304,-0.00939222052693367,0.0482177734375,0.033389627923861555,0.00042597654446581147,-0.23572119310265408,0.1
1997,500.0,28,458752,500.0,229,0.0012032378,0.0005,135,0.8903628513216972,-0.007351229898631573,0.05225830078125,0.033547759547309396,0.00017304952789345406,-0.2384886300074868,0.1
1995,500.0,29,475136,500.0,238,0.0014024725,0.0005,140,0.8779532834887505,0.0042410497553646564,0.062060546875,0.03514373270354554,0.0003123516935374937,-0.22610235726460814,0.1
1991,500.0,30,491520,500.0,246,0.0010412664,0.0005,145,0.9109190851449966,0.005121602676808834,0.05029296875,0.03625583289558563,0.0007586687592265662,-0.22379763957578688,0.1
1985,500.0,31,507904,500.0,255,0.0012250168,0.0005,150,0.9125545546412468,0.00716619286686182,0.051611328125,0.03491416979204587,0.0008733603526707157,-0.22551404450787232,0.1
