rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/approx_kl,train/loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss
32.15625,500.0,16384,3,1,5050,,,,,,,,,,
31.765625,500.0,32768,10,2,3052,0.08045654296875,469.736768746376,-0.6912752829957753,5,0.001805721,14.133237838745117,0.0005,0.03208053112030029,0.1,-0.0014240342816265184
32.5625,500.0,49152,18,3,2705,0.1065673828125,110.57265737205744,-0.6867484810762108,10,0.0023076935,2.5954649448394775,0.0005,0.48928534984588623,0.1,-0.002613927487072942
32.82,500.0,65536,26,4,2491,0.1429931640625,61.179124016687275,-0.6767567964270711,15,0.002708741,9.731961250305176,0.0005,0.7687591910362244,0.1,-0.0035426214351900855
38.3,500.0,81920,34,5,2383,0.12252197265625,70.21250926107169,-0.6689476270694286,20,0.0029726154,4.2589569091796875,0.0005,0.8388727009296417,0.1,-0.003418894104743231
39.48,500.0,98304,42,6,2337,0.15767822265625,32.21338914707303,-0.6540319567080587,25,0.0035760796,1.8462474346160889,0.0005,0.941817868500948,0.1,-0.00502138413812645
42.22,500.0,114688,49,7,2308,0.1928466796875,29.93730570115149,-0.63382698870264,30,0.0050856215,2.383103847503662,0.0005,0.948402002453804,0.1,-0.0036106114490394247
41.8,500.0,131072,57,8,2282,0.20985107421875,14.668912094458937,-0.6230622175615281,35,0.0046895673,1.6828020811080933,0.0005,0.9779146686196327,0.1,-0.005374894698798016
45.7,500.0,147456,65,9,2240,0.20577392578125,7.097630576230586,-0.6058979701716453,40,0.0046969266,0.7206064462661743,0.0005,0.9890548773109913,0.1,-0.00527398283174989
50.43,500.0,163840,75,10,2175,0.2227783203125,6.5926024197600785,-0.5958381203003228,45,0.0046383813,0.5464277267456055,0.0005,0.9891262874007225,0.1,-0.0046323007680257435
57.04,500.0,180224,83,11,2153,0.2091552734375,4.741825591679662,-0.5822692343965172,50,0.0046889316,1.0775038003921509,0.0005,0.992105083540082,0.1,-0.004573513733521395
58.65,500.0,196608,91,12,2139,0.2223388671875,4.66683439030312,-0.5749912848230452,55,0.005438626,0.42601197957992554,0.0005,0.9936589440330863,0.1,-0.0026751619655442484
60.88,500.0,212992,99,13,2142,0.22186279296875,3.959629421820864,-0.5341798689682037,60,0.005282038,0.23516130447387695,0.0005,0.9935766425915062,0.1,-0.0022231293806271426
64.64,500.0,229376,106,14,2145,0.1802001953125,3.002827982744202,-0.5185003382386639,65,0.00399923,0.29134154319763184,0.0005,0.9940430023707449,0.1,-0.0024195368601795052
71.51,500.0,245760,114,15,2146,0.16685791015625,2.778129852889106,-0.5043856342090294,70,0.0039503956,0.39096152782440186,0.0005,0.9911011150106788,0.1,-0.0018167869540775428
78.81,500.0,262144,122,16,2148,0.1780517578125,2.7406749743036927,-0.492178296810016,75,0.005174413,0.13165295124053955,0.0005,0.9940234003588557,0.1,-0.0014770884813515295
89.39,500.0,278528,129,17,2147,0.156689453125,3.379412023141049,-0.46512897009961307,80,0.004880284,0.4119786024093628,0.0005,0.9916110308840871,0.1,-0.0011136280681967037
99.24,500.0,294912,137,18,2148,0.18251953125,2.1645320999086834,-0.46327801565639676,85,0.0052403854,0.2865607440471649,0.0005,0.9948028470389545,0.1,-0.0002942396577054751
115.05,500.0,311296,144,19,2148,0.1672119140625,2.5417335804668255,-0.4473116774344817,90,0.0047058286,0.36820918321609497,0.0005,0.9943270096555352,0.1,0.0007122752282157308
126.13,500.0,327680,153,20,2134,0.18056640625,2.01619143448188,-0.44305551745928823,95,0.0043843957,0.16617530584335327,0.0005,0.9959695041179657,0.1,0.0011660059331916272
138.62,500.0,344064,162,21,2116,0.1597900390625,2.0533487937238535,-0.4333524018526077,100,0.0043992694,0.22796884179115295,0.0005,0.9961039756890386,0.1,0.0012087722621799911
138.65,500.0,360448,171,22,2107,0.14935302734375,2.3646859952132218,-0.428368106787093,105,0.0033113821,0.2500515580177307,0.0005,0.9954850263893604,0.1,0.0005010874888284889
143.31,500.0,376832,179,23,2105,0.14163818359375,2.039999134920072,-0.4155051071196795,110,0.0042183646,0.038607727736234665,0.0005,0.9960371144115925,0.1,0.0013965790877591643
145.57,500.0,393216,186,24,2107,0.1697509765625,1.5874090353259818,-0.41650106289889666,115,0.0058657005,0.005208984017372131,0.0005,0.9961154805496335,0.1,0.0013096006789055537
145.31,500.0,409600,194,25,2101,0.1451171875,1.3612267693970352,-0.4185594713082537,120,0.0039291857,0.0752124935388565,0.0005,0.9945542817004025,0.1,0.001408297906664302
