rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss
500.0,4865,3,31.3125,1,16384,,,,,,,,,,
500.0,3018,10,34.953125,2,32768,211.77645488977433,0.12166748046875,-0.6908864500001073,5,8.455102920532227,0.0005,0.0022896733,-0.027480244636535645,0.1,-0.00325098221492226
500.0,2667,18,36.28125,3,49152,45.17745611593127,0.11492919921875,-0.6853860031813384,10,2.1128013134002686,0.0005,0.0024690088,0.19186323881149292,0.1,-0.003534068975932314
500.0,2417,27,38.74,4,65536,35.0352256026119,0.18138427734375,-0.6723262532148511,15,0.9346547722816467,0.0005,0.0030534589,0.6547098457813263,0.1,-0.005758686586159456
500.0,2268,36,44.04,5,81920,38.742362866178155,0.1812255859375,-0.6578830344602465,20,4.756943225860596,0.0005,0.0041712653,0.7604256868362427,0.1,-0.003857873296146863
500.0,2211,44,53.24,6,98304,8.071659343875945,0.21697998046875,-0.6412388481665403,25,0.5217282176017761,0.0005,0.0039475965,0.9299059212207794,0.1,-0.010497911672064219
500.0,2203,52,79.19,7,114688,5.56119961515069,0.25255126953125,-0.6165656131226569,30,0.4103379249572754,0.0005,0.0052892603,0.9637004621326923,0.1,-0.011286094477691222
500.0,2185,59,111.17,8,131072,6.6004558974877,0.30975341796875,-0.5909312611445785,35,0.4468112289905548,0.0005,0.007887034,0.9612719491124153,0.1,-0.008847353276360081
500.0,2166,68,150.99,9,147456,1.9278469059616328,0.3458984375,-0.5721421735826879,40,0.12006494402885437,0.0005,0.009521823,0.9869946287944913,0.1,-0.011340615177050494
500.0,2162,75,183.11,10,163840,0.20087819723703432,0.30068359375,-0.5441346633248031,45,0.003899630159139633,0.0005,0.008611022,0.9918943988159299,0.1,-0.01037819697321538
500.0,2155,83,242.78,11,180224,0.031620067015319366,0.26683349609375,-0.5220659559592604,50,-0.0009318231604993343,0.0005,0.0072466405,0.9923596745356917,0.1,-0.01151366458634584
500.0,2156,91,304.04,12,196608,0.017857090676989172,0.2072998046875,-0.5025282894494012,55,-0.006401614751666784,0.0005,0.006531785,0.9898449406027794,0.1,-0.008458507286377426
500.0,2154,98,378.6,13,212992,0.013678399244236061,0.17755126953125,-0.4679439591942355,60,0.001082738977856934,0.0005,0.0063541103,0.9813405387103558,0.1,-0.006591116735944524
500.0,2145,106,428.82,14,229376,0.009782121897933394,0.11719970703125,-0.45222045278642325,65,-0.009436316788196564,0.0005,0.0026882906,0.9828419853001833,0.1,-0.004991541992785642
500.0,2136,115,463.14,15,245760,0.012375117666670122,0.12291259765625,-0.4308549274690449,70,-0.012846131809055805,0.0005,0.0031336816,0.9732192270457745,0.1,-0.004234256521340285
500.0,2134,122,478.92,16,262144,0.012230635804826306,0.11644287109375,-0.4208135752705857,75,-0.0030102261807769537,0.0005,0.0032093972,0.9648566097021103,0.1,-0.003973453569960839
500.0,2134,130,494.15,17,278528,0.011680265820450586,0.0787841796875,-0.40069197029806675,80,-0.009445414878427982,0.0005,0.0021269158,0.9575480073690414,0.1,-0.0016743753314585775
500.0,2136,138,498.36,18,294912,0.01179592292619418,0.079443359375,-0.37946487970184534,85,0.0015305343549698591,0.0005,0.0023479199,0.9428493417799473,0.1,-0.0025181825398249203
500.0,2139,145,498.36,19,311296,0.012454330723903695,0.07462158203125,-0.3485302931396291,90,0.0013921114150434732,0.0005,0.0020346863,0.9258867651224136,0.1,-0.0017810064562581828
500.0,2140,153,500.0,20,327680,0.010121981570227945,0.07015380859375,-0.33206198466941717,95,0.03693165257573128,0.0005,0.0016591104,0.9318094104528427,0.1,-0.001722010947196395
