rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_fraction,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss
35.34375,2,1,16384,5677,500.0,,,,,,,,,,
38.265625,9,2,32768,3344,500.0,0.07619011402130127,286.8030631840229,-0.0016937977570705698,0.0020114728,7.4934797286987305,0.0742431640625,0.1,0.0005,5,-0.6913035052362829
39.25,17,3,49152,2877,500.0,0.40137994289398193,34.97624635919929,-0.003319517388445092,0.002561155,1.7832577228546143,0.11580810546875,0.1,0.0005,10,-0.6883036577142775
41.82,24,4,65536,2696,500.0,0.73539999127388,30.90931243225932,-0.0046303190034450385,0.0023549064,1.1943005323410034,0.13388671875,0.1,0.0005,15,-0.6819239078089595
46.11,31,5,81920,2569,500.0,0.7878370732069016,22.806162670627238,-0.004724745930025165,0.0033973036,1.771585464477539,0.15914306640625,0.1,0.0005,20,-0.6697927045635879
52.89,39,6,98304,2502,500.0,0.9020813331007957,15.215256495773792,-0.006720384268373891,0.0034978078,0.6587944030761719,0.1900146484375,0.1,0.0005,25,-0.6552942301612348
62.99,46,7,114688,2451,500.0,0.9499287493526936,11.057847586646677,-0.009342529579953407,0.0050876504,0.7173609733581543,0.23563232421875,0.1,0.0005,30,-0.6321401096880436
80.99,53,8,131072,2441,500.0,0.889900416135788,17.305911385826768,-0.00411380501518579,0.0050364314,0.8251639604568481,0.20155029296875,0.1,0.0005,35,-0.6159963424317538
110.75,60,9,147456,2451,500.0,0.9822426363825798,4.840531362965703,-0.009310990814992693,0.005720861,0.2943466901779175,0.22696533203125,0.1,0.0005,40,-0.5874145385343581
149.7,66,10,163840,2454,500.0,0.982239143922925,4.752659940905869,-0.005894610197174188,0.005671903,0.17247240245342255,0.21868896484375,0.1,0.0005,45,-0.5764424381777644
190.54,73,11,180224,2462,500.0,0.9854386541992426,3.781558512104675,-0.004757792892542056,0.005829667,0.149277925491333,0.2295654296875,0.1,0.0005,50,-0.5700526819098741
238.15,79,12,196608,2465,500.0,0.9910198366269469,1.8762294680811464,-0.003314674275316065,0.004948703,0.11871766299009323,0.201416015625,0.1,0.0005,55,-0.551603960013017
267.81,86,13,212992,2469,500.0,0.988424931652844,0.6346228212700226,-0.0005898178626011941,0.0052696085,0.08660271763801575,0.18740234375,0.1,0.0005,60,-0.5086714005563409
305.83,92,14,229376,2469,500.0,0.9848635215312243,0.5086008805665188,-0.0010706805078370962,0.0039042747,0.08639343082904816,0.150048828125,0.1,0.0005,65,-0.49940976640209556
347.04,99,15,245760,2472,500.0,0.9858561977744102,0.20104337513039355,-0.0006677422619759454,0.0037948191,0.0032837046310305595,0.13349609375,0.1,0.0005,70,-0.4589446760946885
402.54,105,16,262144,2473,500.0,0.9931954024359584,0.07071462284220616,-0.0032462837508319352,0.004512158,-0.0016281930729746819,0.13360595703125,0.1,0.0005,75,-0.4103204913903028
454.11,112,17,278528,2476,500.0,0.9887236058712006,0.027378235389187468,-0.0052446533305555935,0.004612808,-0.003354135202243924,0.131005859375,0.1,0.0005,80,-0.3733641918981448
482.83,118,18,294912,2480,500.0,0.9696797356009483,0.015970088202811893,-0.004978072305584646,0.0046252618,-0.018144803121685982,0.099169921875,0.1,0.0005,85,-0.3204776739818044
496.49,125,19,311296,2482,500.0,0.948109682649374,0.007741904907379649,-0.0045353964820606055,0.004821119,-0.00875856727361679,0.0990234375,0.1,0.0005,90,-0.28369113691151143
500.0,131,20,327680,2485,500.0,0.9303039982914925,0.0063447493144849435,-0.0026872948077652837,0.004600092,-0.002767021767795086,0.1029541015625,0.1,0.0005,95,-0.2598712506471202
500.0,138,21,344064,2486,500.0,0.9235543683171272,0.007803521756750342,-0.000674966426777246,0.0017823658,-0.005292508285492659,0.07064208984375,0.1,0.0005,100,-0.2460535932215862
500.0,144,22,360448,2487,500.0,0.9349003061652184,0.006982746595485878,0.00011070690288761398,0.0013628817,-0.007354915142059326,0.062939453125,0.1,0.0005,105,-0.24593387356726454
500.0,152,23,376832,2472,500.0,0.9428101852536201,0.006975903458896937,-0.0006627626691624755,0.0024402183,-0.009073817171156406,0.07763671875,0.1,0.0005,110,-0.23518920129863546
500.0,159,24,393216,2468,500.0,0.9454748965799809,0.0062120827052694946,5.673597433997202e-05,0.0017235794,0.00043109594844281673,0.07137451171875,0.1,0.0005,115,-0.22344808167545124
500.0,166,25,409600,2459,500.0,0.9303989410400391,0.00644739580843634,0.0006590927700017346,0.0010322107,-0.0007112628081813455,0.0581787109375,0.1,0.0005,120,-0.22696433651726694
500.0,173,26,425984,2452,500.0,0.9288451299071312,0.0065835643482841984,0.0005564680504903663,0.0015774162,0.004732534289360046,0.07022705078125,0.1,0.0005,125,-0.2235677762713749
500.0,180,27,442368,2446,500.0,0.9297766610980034,0.007204342207046466,0.0005721345003621536,0.0015833585,3.386510070413351e-05,0.067529296875,0.1,0.0005,130,-0.22242561529856175
500.0,188,28,458752,2439,500.0,0.9181676506996155,0.009256734473683536,0.000751632865967622,0.0012947309,-0.004912898875772953,0.06820068359375,0.1,0.0005,135,-0.2217199934006203
500.0,195,29,475136,2433,500.0,0.9370613396167755,0.005747322038155289,0.0004929967462885543,0.00092954666,0.0036515546962618828,0.04908447265625,0.1,0.0005,140,-0.21149176080944015
500.0,202,30,491520,2428,500.0,0.9369727596640587,0.0052379848396867604,0.0008136517541061039,0.001059714,0.0037085774820297956,0.05191650390625,0.1,0.0005,145,-0.2259835202479735
500.0,209,31,507904,2423,500.0,0.9408360607922077,0.004197123841231587,0.0004444266021891963,0.00084491685,-0.0007932339794933796,0.0563232421875,0.1,0.0005,150,-0.22743918693740853
