time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate
1,3,31.25,16384,4931,500.0,,,,,,,,,,
2,11,33.96875,32768,2894,500.0,5,-0.0027026714292333054,0.1,-0.6907721232622862,0.027452051639556885,100.8912720143795,0.10247802734375,3.0898780822753906,0.0025612079,0.0005
3,19,33.020833333333336,49152,2544,500.0,10,-0.0036828338275881833,0.1,-0.6813174676615745,0.5052112936973572,35.32743396311999,0.17623291015625,2.2928524017333984,0.0027484747,0.0005
4,27,35.42,65536,2407,500.0,15,-0.00509034932947543,0.1,-0.6652051499579101,0.6350520551204681,22.267249882221222,0.17926025390625,1.4821984767913818,0.0030708732,0.0005
5,35,34.65,81920,2316,500.0,20,-0.005250091082052677,0.1,-0.6410698961000889,0.8259377926588058,16.482585001923145,0.236669921875,0.4732278883457184,0.0044257925,0.0005
6,43,33.39,98304,2266,500.0,25,-0.004130827884728206,0.1,-0.6078230277635157,0.9112123176455498,14.88667013105005,0.2372314453125,0.4428751468658447,0.005726428,0.0005
7,51,30.19,114688,2233,500.0,30,-0.0030273814632892026,0.1,-0.5613831621129066,0.9370570182800293,17.261375124473126,0.19844970703125,0.17029117047786713,0.007766496,0.0005
8,59,26.11,131072,2209,500.0,35,-0.0013300329916091868,0.1,-0.5290230776183307,0.962745625525713,17.513198657520114,0.15125732421875,1.073537826538086,0.00825269,0.0005
9,67,22.67,147456,2189,500.0,40,-8.009154171304545e-05,0.1,-0.4983698261901736,0.9689376633614302,25.277758855186402,0.10311279296875,1.4807034730911255,0.004627488,0.0005
10,75,19.75,163840,2167,500.0,45,-0.00032494016813870984,0.1,-0.45741462118458004,0.9793888311833143,23.497207788284868,0.1115234375,0.8381713628768921,0.0072335,0.0005
11,84,19.94,180224,2143,500.0,50,-0.000361856079325662,0.1,-0.42567432404030114,0.9850858775898814,21.893676189891995,0.1005615234375,0.5839132070541382,0.0057804277,0.0005
12,93,19.71,196608,2098,500.0,55,0.0006424563380278414,0.1,-0.3842222310835496,0.9889277331531048,18.925101015064865,0.07861328125,0.6343854665756226,0.00365978,0.0005
13,102,20.07,212992,2069,500.0,60,5.342178501450689e-05,0.1,-0.36745279501192274,0.9949391987174749,12.173711298732087,0.0648681640625,0.34798023104667664,0.0017962704,0.0005
