time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/clip_range
1,500.0,3,16384,4624,35.6875,,,,,,,,,,
2,500.0,12,32768,2587,36.234375,5,0.0005,181.8779051810503,-0.6913363218773156,8.316560745239258,-0.054248929023742676,-0.00225255176283099,0.001882279,0.07479248046875,0.1
3,500.0,23,49152,2053,36.802083333333336,10,0.0005,46.939873594045636,-0.6884788185358047,1.653352975845337,0.5573031902313232,-0.003537220186808554,0.0018527743,0.08388671875,0.1
4,500.0,33,65536,1953,35.2,15,0.0005,24.39179233536124,-0.6811537235043943,1.1831680536270142,0.7992850691080093,-0.006941925184491993,0.0027242142,0.1515625,0.1
5,500.0,43,81920,1875,31.81,20,0.0005,12.079600550979375,-0.675667146127671,0.5802379846572876,0.8962017744779587,-0.005450481321349798,0.0025494988,0.1383544921875,0.1
6,500.0,52,98304,1867,27.82,25,0.0005,9.393655892834067,-0.6694708319846541,1.4417139291763306,0.9224779605865479,-0.006007677695015446,0.0028899014,0.1702880859375,0.1
7,500.0,62,114688,1848,29.49,30,0.0005,8.406335750594735,-0.6555037863552571,0.6647316217422485,0.9460349529981613,-0.007300521448814834,0.0034279684,0.17774658203125,0.1
8,500.0,71,131072,1822,34.54,35,0.0005,7.212146315537393,-0.6461305988486856,0.5783528685569763,0.9512831903994083,-0.006724395902620017,0.0041269567,0.18062744140625,0.1
9,500.0,81,147456,1811,41.27,40,0.0005,6.694135387428105,-0.6264659568667412,0.8075842261314392,0.9599821493029594,-0.007557123427613987,0.005061588,0.189892578125,0.1
10,500.0,90,163840,1802,52.03,45,0.0005,6.961157291941345,-0.6155841473955661,0.5663873553276062,0.9583921805024147,-0.0045792512115440335,0.0053217616,0.20738525390625,0.1
11,500.0,99,180224,1813,78.51,50,0.0005,8.0497443866916,-0.602246915595606,2.3337314128875732,0.9417716562747955,-0.0026671310209167133,0.0050297747,0.2447265625,0.1
12,500.0,108,196608,1810,120.1,55,0.0005,5.981938561983407,-0.5799582069274039,0.3826963007450104,0.9519024714827538,-0.0015797034111528774,0.0055106897,0.28673095703125,0.1
13,500.0,117,212992,1812,180.0,60,0.0005,1.8193121768767013,-0.5624903295654804,0.0455133281648159,0.9091576859354973,-0.002629579182848829,0.0076541994,0.312841796875,0.1
14,500.0,126,229376,1811,232.6,65,0.0005,0.8060664762015222,-0.540792919904925,0.2027631402015686,0.8897621035575867,-0.0016507555406860774,0.006381618,0.23548583984375,0.1
15,500.0,136,245760,1804,311.92,70,0.0005,0.5410642970527988,-0.5225729537196457,0.015573384240269661,0.8761768117547035,-0.0004605674044796615,0.0038394346,0.14327392578125,0.1
16,500.0,145,262144,1803,359.6,75,0.0005,0.2814277400182618,-0.5036469558486715,0.01981937512755394,0.8924650475382805,-0.0005205937480241118,0.0022561294,0.09671630859375,0.1
17,500.0,154,278528,1807,413.12,80,0.0005,0.2829540541591996,-0.4853494218317792,-0.004173904657363892,0.8735979199409485,-0.0005948502062892658,0.0025519852,0.0922607421875,0.1
18,500.0,162,294912,1814,431.21,85,0.0005,0.2134487562449067,-0.46719927007798107,0.033797767013311386,0.889292798936367,-0.0007238440356559295,0.0027277332,0.09107666015625,0.1
19,500.0,172,311296,1808,431.3,90,0.0005,0.2004859097440203,-0.4582381390500814,0.006516237277537584,0.8904575332999229,0.00013313948484210413,0.0016333365,0.076416015625,0.1
20,500.0,181,327680,1804,419.54,95,0.0005,0.3158951552817598,-0.4565625213319436,0.06634751707315445,0.8490968495607376,0.0001974774400878232,0.001556509,0.0613525390625,0.1
21,500.0,190,344064,1808,412.47,100,0.0005,0.3551050796762866,-0.44951200946234166,0.012628227472305298,0.8286327421665192,-0.0006462529493546753,0.0031984916,0.09891357421875,0.1
22,500.0,199,360448,1809,422.69,105,0.0005,0.3050125337998907,-0.4169154525268823,0.05843270197510719,0.8245534747838974,0.0005637172023853054,0.0015584682,0.069580078125,0.1
23,500.0,208,376832,1808,434.18,110,0.0005,0.2251656315391301,-0.39574397592805327,0.018377214670181274,0.835443302989006,0.0004501003169025353,0.0027608683,0.07825927734375,0.1
24,500.0,219,393216,1795,437.9,115,0.0005,0.26385796760805535,-0.38749493218492714,0.0172761008143425,0.8329418301582336,-0.00012232996746206482,0.001453402,0.05863037109375,0.1
25,500.0,229,409600,1785,446.1,120,0.0005,0.2308110838308494,-0.36197502533905207,0.002645146567374468,0.839025691151619,0.00027791445845650744,0.0017071733,0.0674560546875,0.1
