time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss
1,32.78125,500.0,3,5125,16384,,,,,,,,,,
2,39.171875,500.0,11,2933,32768,0.0005,549.945831233263,-0.6914839221164584,0.0008903145790100098,0.0019383525,5,0.1,0.0565673828125,26.074886322021484,-0.0014896575279635727
3,39.864583333333336,500.0,19,2560,49152,0.0005,193.2408014625311,-0.6878932036459446,0.07722949981689453,0.0020136451,10,0.1,0.09197998046875,9.991856575012207,-0.002541114837185887
4,41.64,500.0,27,2366,65536,0.0005,88.10739498883486,-0.6801294068340212,0.6128709018230438,0.002637974,15,0.1,0.1189697265625,6.740269660949707,-0.003970467825274682
5,38.59,500.0,37,2189,81920,0.0005,51.16575684919953,-0.6691530135460197,0.8336549550294876,0.0027768423,20,0.1,0.15203857421875,4.1813273429870605,-0.005429023516444431
6,40.8,500.0,46,2118,98304,0.0005,43.36368629783392,-0.655684887804091,0.891328290104866,0.003539192,25,0.1,0.18646240234375,2.873661994934082,-0.006413844635244459
7,45.63,500.0,55,2065,114688,0.0005,19.762824967876078,-0.644183882093057,0.9475010894238949,0.0039328905,30,0.1,0.194677734375,1.4403489828109741,-0.00816464032559452
8,56.72,500.0,64,2036,131072,0.0005,17.558265447244047,-0.6257320867851377,0.961374469101429,0.0051254723,35,0.1,0.2268310546875,1.077966570854187,-0.009086605052652885
9,67.51,500.0,73,1994,147456,0.0005,18.79838615246117,-0.6088458256330341,0.9621372409164906,0.005636769,40,0.1,0.23536376953125,1.480657696723938,-0.008336191191119724
10,85.01,500.0,83,1957,163840,0.0005,17.386986052431165,-0.5989070197101682,0.9698789045214653,0.0052270037,45,0.1,0.2071044921875,1.9220600128173828,-0.00425084402813809
11,110.92,500.0,93,1933,180224,0.0005,11.286759581789374,-0.5696410030592233,0.9796684812754393,0.006300135,50,0.1,0.22364501953125,0.819825291633606,-0.005092820920253871
12,132.97,500.0,101,1930,196608,0.0005,7.172458570729941,-0.5574104683240876,0.9921903400681913,0.004890264,55,0.1,0.17669677734375,0.22603090107440948,-0.004069683114994405
13,152.27,500.0,110,1933,212992,0.0005,4.505333449784667,-0.5404602942988277,0.994812625925988,0.0057167867,60,0.1,0.21536865234375,0.18866944313049316,-0.004841712081724836
