time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/value_loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/clip_range,train/learning_rate
1,500.0,3,32.34375,4397,16384,,,,,,,,,,
2,500.0,13,32.578125,2486,32768,1929.443640089035,5,0.0022370452,0.0029448866844177246,0.0753662109375,-0.6910671839490533,-0.0014328663395644981,96.83465576171875,0.1,0.0005
3,500.0,23,32.28125,2057,49152,1218.867336165905,10,0.0021405711,0.11199766397476196,0.093115234375,-0.6883351551368833,-0.001295363769349933,99.60274505615234,0.1,0.0005
4,500.0,33,32.89,1962,65536,1736.0260675668717,15,0.0024914914,0.26241475343704224,0.0955810546875,-0.6821693992242217,-0.0015709689791037818,49.4007682800293,0.1,0.0005
5,500.0,43,34.07,1890,81920,942.3015502274036,20,0.0020223144,0.6128631830215454,0.08814697265625,-0.67836108263582,-0.0017637297614783165,43.973690032958984,0.1,0.0005
6,500.0,53,37.26,1825,98304,517.6146411448717,25,0.00236814,0.7954084277153015,0.1038330078125,-0.6767992009874433,-0.0018683010852328153,21.023944854736328,0.1,0.0005
7,500.0,63,38.57,1810,114688,257.71948130875825,30,0.0030978774,0.8860959783196449,0.13968505859375,-0.6698724195361138,-0.00296136378619849,13.299518585205078,0.1,0.0005
8,500.0,72,43.72,1801,131072,374.32670635432004,35,0.0035780114,0.8805186673998833,0.13831787109375,-0.6649970247410237,-0.0014220431638932497,35.30879211425781,0.1,0.0005
9,500.0,82,52.75,1796,147456,97.08906852900982,40,0.0041443557,0.9619020223617554,0.19171142578125,-0.6484575778245926,-0.004763430060302198,11.404495239257812,0.1,0.0005
10,500.0,91,66.58,1788,163840,76.7092025436461,45,0.004782141,0.9733403567224741,0.21197509765625,-0.6266909514553844,-0.0050396244090734395,16.02951431274414,0.1,0.0005
11,500.0,101,84.35,1781,180224,34.250158777087925,50,0.00522627,0.9852199228480458,0.20020751953125,-0.6033917794935405,-0.005724205305978103,5.650213718414307,0.1,0.0005
12,500.0,110,99.13,1772,196608,13.612056784890592,55,0.0051028356,0.9927520276978612,0.2120849609375,-0.5834486494772136,-0.007443805233378953,0.7455568909645081,0.1,0.0005
13,500.0,121,119.9,1751,212992,10.18087001927197,60,0.004760137,0.993871402926743,0.20172119140625,-0.5720873606391251,-0.008111853445188898,1.1361196041107178,0.1,0.0005
14,500.0,131,141.06,1743,229376,7.839054360799492,65,0.004942131,0.9958283072337508,0.21612548828125,-0.5772255069576204,-0.0061401369604936916,0.6526666283607483,0.1,0.0005
15,500.0,141,164.58,1742,245760,7.05612687682733,70,0.004272514,0.9962938737589866,0.20084228515625,-0.5715041576186195,-0.007142422565084417,0.35231390595436096,0.1,0.0005
16,500.0,150,178.7,1740,262144,3.9855017302557827,75,0.0049292278,0.9978783400729299,0.2334716796875,-0.5568177542416379,-0.005096885299644782,0.23984766006469727,0.1,0.0005
17,500.0,160,189.48,1740,278528,2.7267779171001165,80,0.0041196006,0.9983466542325914,0.20479736328125,-0.5557832741644233,-0.002424682568926073,0.16211459040641785,0.1,0.0005
18,500.0,169,193.93,1740,294912,1.8476935539394617,85,0.006117747,0.9988469267264009,0.2603515625,-0.5476804445497692,-0.0036868140547994697,0.15777865052223206,0.1,0.0005
19,500.0,179,191.78,1738,311296,2.4363479413790627,90,0.0055736843,0.9985519922338426,0.22974853515625,-0.5385800452437252,-0.0026772841737511045,0.2934545576572418,0.1,0.0005
20,500.0,188,191.6,1738,327680,1.639465622836724,95,0.0051732324,0.999003489036113,0.232373046875,-0.5355994794750586,-0.0008619078081210319,0.17012107372283936,0.1,0.0005
21,500.0,199,197.52,1728,344064,1.8427443550433964,100,0.0042156894,0.9991898930747993,0.19237060546875,-0.5353809797903523,-0.00011971014992013806,0.09487433731555939,0.1,0.0005
22,500.0,209,199.57,1721,360448,1.7617130960104987,105,0.003453806,0.9991751767811365,0.18448486328125,-0.5223611365072429,-1.2153613897680771e-05,0.1671081930398941,0.1,0.0005
23,500.0,219,201.49,1720,376832,1.4725435751723126,110,0.004816754,0.9992999996175058,0.2294189453125,-0.5205813037697226,0.0007242109209983028,0.05556095391511917,0.1,0.0005
24,500.0,228,201.29,1719,393216,1.281145639816532,115,0.0054404074,0.9992261868319474,0.20965576171875,-0.5159010406350717,0.0016708545178516943,0.09376925230026245,0.1,0.0005
25,500.0,238,198.95,1718,409600,0.6303538328327705,120,0.0034153871,0.9992231373325922,0.15208740234375,-0.49307812803890555,0.00015392092063848395,0.0985567569732666,0.1,0.0005
26,500.0,247,197.12,1718,425984,0.9276904089667368,125,0.00299891,0.9988389939535409,0.1393310546875,-0.4923350581899285,0.0008020409450182342,0.1960255205631256,0.1,0.0005
27,500.0,257,194.34,1718,442368,0.7463132602249971,130,0.0039948346,0.999276366608683,0.1923583984375,-0.48293374630156904,-0.001747124195935612,0.0409369133412838,0.1,0.0005
28,500.0,266,198.72,1718,458752,0.5456746722717071,135,0.0076316525,0.999282956647221,0.2241455078125,-0.45904506840743126,-2.824411330948351e-05,0.06134969741106033,0.1,0.0005
29,500.0,276,204.84,1718,475136,0.36723257801204456,140,0.0037655346,0.9993951782817021,0.163525390625,-0.4344844941748306,0.0012765347942149674,0.029150614514946938,0.1,0.0005
30,500.0,285,207.5,1720,491520,0.3802570518659195,145,0.0040829126,0.9993486236198805,0.155615234375,-0.4153232422657311,0.0015890437900452526,0.0574539378285408,0.1,0.0005
31,500.0,296,215.29,1715,507904,0.34791161230386936,150,0.003088167,0.9993838273221627,0.13173828125,-0.4065275684930384,0.0016506228265825485,0.02362201362848282,0.1,0.0005
32,500.0,306,213.28,1711,524288,0.2792751341781695,155,0.0034406339,0.9992174101062119,0.1352294921875,-0.38850568945053965,0.0014372339781402843,0.011657887138426304,0.1,0.0005
33,500.0,316,214.92,1707,540672,0.4434440081575303,160,0.0026956494,0.9992481500958093,0.10810546875,-0.39181681592017414,0.0016582495851253042,0.008482757955789566,0.1,0.0005
34,500.0,326,212.71,1707,557056,0.3120926244824659,165,0.0033697444,0.9993208145024255,0.1151611328125,-0.3706890176516026,0.0011843681611935608,0.011873582378029823,0.1,0.0005
35,500.0,336,211.51,1706,573440,0.342125511271297,170,0.002154102,0.9993409435846843,0.09630126953125,-0.3631292024860159,0.0012885024267234257,0.06671491265296936,0.1,0.0005
36,500.0,346,212.4,1702,589824,0.36218192832820933,175,0.0018915392,0.9993298184126616,0.09400634765625,-0.35002814123872666,0.001653012860879244,0.06548691540956497,0.1,0.0005
37,500.0,356,211.94,1699,606208,0.2458866490946093,180,0.0034925793,0.9992496988270432,0.10653076171875,-0.333638076717034,0.0016572871584685344,0.03826170042157173,0.1,0.0005
38,500.0,366,217.4,1699,622592,0.24253633816915682,185,0.0020725909,0.9993104428285733,0.08720703125,-0.3278284814907238,0.0012308961937378625,0.015939999371767044,0.1,0.0005
39,500.0,375,221.24,1700,638976,0.34663049268638135,190,0.0020940388,0.9993551602819934,0.09359130859375,-0.30500079757766796,0.0012206116169181768,0.096364326775074,0.1,0.0005
40,500.0,385,230.45,1700,655360,0.2999555966205662,195,0.0030438602,0.9993015230284072,0.0929443359375,-0.30073007884202524,0.001187911783790696,0.05402001366019249,0.1,0.0005
41,500.0,394,231.11,1701,671744,0.2526643250632333,200,0.002829913,0.9993427415029146,0.1103759765625,-0.28216575612314043,0.0010054724894871469,0.06550457328557968,0.1,0.0005
42,500.0,404,225.95,1701,688128,0.9654795238428051,205,0.0016458691,0.9969924269244075,0.0805419921875,-0.2936867898912169,0.0012808596164177288,0.07002988457679749,0.1,0.0005
43,500.0,413,220.08,1702,704512,1.585373235004954,210,0.001688563,0.9964124234393239,0.088232421875,-0.31359292482957246,0.000966162176518992,0.31247401237487793,0.1,0.0005
