rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/entropy_loss
32.40625,4795,3,16384,500.0,1,,,,,,,,,,
34.5,2787,11,32768,500.0,2,-0.003496554667799501,367.1192453861237,-0.011571645736694336,5,0.12325439453125,17.997074127197266,0.0005,0.1,0.0025452916,-0.6905727293808013
35.739583333333336,2461,19,49152,500.0,3,-0.0028297201406530803,81.01493091136217,0.0994982123374939,10,0.09554443359375,4.04296350479126,0.0005,0.1,0.001973783,-0.685104743251577
37.18,2317,28,65536,500.0,4,-0.004207755588868167,37.83337030559778,0.7347356081008911,15,0.1028564453125,1.8491301536560059,0.0005,0.1,0.0023398525,-0.6815646786708385
40.21,2241,36,81920,500.0,5,-0.00751022671274768,18.113011125102638,0.8772620260715485,20,0.146142578125,1.1807591915130615,0.0005,0.1,0.002852051,-0.6742609137669205
48.22,2170,45,98304,500.0,6,-0.00880471436175867,13.307954753935338,0.9199739173054695,25,0.17955322265625,1.2306421995162964,0.0005,0.1,0.0032674628,-0.6606685711070895
60.83,2071,55,114688,500.0,7,-0.010917081051593414,9.235978963784873,0.9635355100035667,30,0.192236328125,0.9175845980644226,0.0005,0.1,0.0036765519,-0.6427407068200409
78.15,2031,64,131072,500.0,8,-0.011360532717117167,7.868759588338435,0.9761873036623001,35,0.20614013671875,0.5369617938995361,0.0005,0.1,0.004552554,-0.6208265819121153
94.41,1988,74,147456,500.0,9,-0.009862585326300178,4.734019344206899,0.985551786608994,40,0.23189697265625,0.43404364585876465,0.0005,0.1,0.00551543,-0.603426152979955
117.21,1977,82,163840,500.0,10,-0.009929257692419924,3.5087188636884092,0.9913665978237987,45,0.24945068359375,0.34989872574806213,0.0005,0.1,0.0066677686,-0.5898036220576615
140.24,1975,91,180224,500.0,11,-0.00731164519675076,2.0980195348151027,0.9948687320575118,50,0.24825439453125,0.17080751061439514,0.0005,0.1,0.0064276047,-0.5709499702788889
163.27,1972,99,196608,500.0,12,-0.003901114245854842,1.0261971581727267,0.9941147142089903,55,0.2715087890625,0.1814829707145691,0.0005,0.1,0.0060105007,-0.5597360892454162
165.01,1975,107,212992,500.0,13,-0.003734893663022376,0.25052302383992353,0.9939233241602778,60,0.26029052734375,0.02807910181581974,0.0005,0.1,0.0061631706,-0.5164559486787766
171.05,1966,116,229376,500.0,14,-0.001922011799615575,0.10951466873812024,0.9947648523375392,65,0.188818359375,0.0018286029808223248,0.0005,0.1,0.004064812,-0.5057724552694708
166.99,1957,125,245760,500.0,15,-0.0014695287485665177,0.09318886883556843,0.9955328609794378,70,0.1595703125,0.0066094351932406425,0.0005,0.1,0.0038509935,-0.4903570505557582
170.23,1907,137,262144,500.0,16,-0.0012944307802172262,0.08618685305700638,0.9961163103580475,75,0.17337646484375,0.003400309942662716,0.0005,0.1,0.0051278574,-0.472852557268925
