time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/entropy_loss
1,30.59375,3,500.0,5313,16384,,,,,,,,,,
2,34.984375,10,500.0,3030,32768,0.0023435662,-0.0016516920426511207,0.0005,5,0.1,0.072509765625,1.1719956398010254,0.10759025812149048,46.21747082658112,-0.6911291763186455
3,34.104166666666664,18,500.0,2626,49152,0.0026711933,-0.0033843531300590257,0.0005,10,0.1,0.11500244140625,1.6146961450576782,0.7940029054880142,13.240169566124678,-0.6862972285598516
4,32.56,26,500.0,2480,65536,0.0034759939,-0.006962555134668947,0.0005,15,0.1,0.21888427734375,0.37128445506095886,0.8293499499559402,7.797347446717322,-0.6672041117679328
5,28.33,34,500.0,2385,81920,0.0050615403,-0.008827103405201342,0.0005,20,0.1,0.30931396484375,0.3943580389022827,0.8922963663935661,6.7909269916824995,-0.6445925528649241
6,24.97,42,500.0,2335,98304,0.006686411,-0.008407131943931745,0.0005,25,0.1,0.30704345703125,0.48634859919548035,0.9331830069422722,8.599049037881196,-0.6032326553482562
7,21.82,49,500.0,2294,114688,0.0101676835,-0.00592722954297642,0.0005,30,0.1,0.2739990234375,0.26686736941337585,0.9277396500110626,9.78559411643073,-0.5416794571559876
8,18.92,58,500.0,2248,131072,0.016439628,-0.005248200120331603,0.0005,35,0.1,0.2193115234375,0.8349431753158569,0.9313219338655472,16.61550635956228,-0.46410299246199427
9,16.88,67,500.0,2189,147456,0.012772506,-0.0032972364084344007,0.0005,40,0.1,0.137890625,1.5475884675979614,0.9530771262943745,19.375304205715658,-0.40643755327910186
10,15.52,76,500.0,2139,163840,0.009772485,-0.001855310825703782,0.0005,45,0.1,0.115966796875,0.8939789533615112,0.965627983212471,20.996060724742712,-0.3482086236705072
11,14.81,86,500.0,2091,180224,0.007711649,-0.00012542195927380816,0.0005,50,0.1,0.1215087890625,1.2400761842727661,0.9768649898469448,18.602916290424766,-0.30466924362117426
12,14.44,95,500.0,2065,196608,0.004908628,0.00034621654376678637,0.0005,55,0.1,0.0735107421875,1.241502285003662,0.9858302297070622,15.328857165481896,-0.2700677880551666
13,14.38,104,500.0,2042,212992,0.009971589,-0.001395359968955745,0.0005,60,0.1,0.07501220703125,0.478939414024353,0.9940169616602361,9.078398686461151,-0.22123495345003902
14,14.14,113,500.0,2023,229376,0.002745451,-0.00025124954809143676,0.0005,65,0.1,0.0426025390625,1.1530470848083496,0.9957909216172993,7.711494074109941,-0.20260582539485766
15,13.35,122,500.0,2004,245760,0.0026998934,-0.0010672449232515646,0.0005,70,0.1,0.04937744140625,0.2907505929470062,0.997751183109358,6.211821853229776,-0.1895404581853654
16,12.79,131,500.0,1990,262144,0.0032416293,0.0007785908749610825,0.0005,75,0.1,0.060107421875,0.1796322464942932,0.9981606473447755,4.815164891816676,-0.17162232001428493
17,12.05,140,500.0,1975,278528,0.0013581616,0.0009475922843193985,0.0005,80,0.1,0.0381591796875,0.11656178534030914,0.9965129145421088,4.709866331564262,-0.17694333022809589
18,11.56,150,500.0,1963,294912,0.0022290528,0.000659277914382983,0.0005,85,0.1,0.05509033203125,0.19146829843521118,0.9987028007162735,4.497923763375729,-0.16801163594354876
19,10.97,159,500.0,1954,311296,0.0027600848,0.0004962094098118541,0.0005,90,0.1,0.06175537109375,0.13270452618598938,0.9989495628979057,4.178778344742023,-0.15107916064444
20,11.03,168,500.0,1944,327680,0.0041747484,-0.0007487713176942634,0.0005,95,0.1,0.0587890625,0.23805642127990723,0.999128446506802,4.198055809969082,-0.15613964245421813
21,11.0,177,500.0,1937,344064,0.004363967,-0.001494420184098999,0.0005,100,0.1,0.0669189453125,0.2807249128818512,0.9989357539452612,3.9654471752000973,-0.1543489092757227
22,10.97,186,500.0,1931,360448,0.0023152982,0.0021826511871040565,0.0005,105,0.1,0.06468505859375,0.23991085588932037,0.998833735473454,5.400096849468537,-0.15349041751469486
23,10.71,195,500.0,1925,376832,0.005464134,0.0018894474736953271,0.0005,110,0.1,0.05316162109375,0.20081059634685516,0.9991073374403641,2.742939166817814,-0.11299577672616579
24,10.63,204,500.0,1920,393216,0.0022601383,0.005869983896445774,0.0005,115,0.1,0.03616943359375,0.5182952880859375,0.9991610787110403,2.4784433743741827,-0.10348542853025719
25,10.62,213,500.0,1916,409600,0.0022506923,0.0019876983600624954,0.0005,120,0.1,0.02913818359375,0.06801347434520721,0.999150046845898,2.510819762665778,-0.09567274356959388
26,10.55,222,500.0,1912,425984,0.00083326787,0.0028004960502585165,0.0005,125,0.1,0.02562255859375,0.12903720140457153,0.9992396019515581,1.5037332770880312,-0.08303068129025633
27,10.55,231,500.0,1908,442368,0.00255677,0.00030743364532099805,0.0005,130,0.1,0.0437744140625,0.026078907772898674,0.9991706751752645,2.7303508474316915,-0.0809074463613797
28,10.39,241,500.0,1902,458752,0.004767832,-0.001448307779719471,0.0005,135,0.1,0.0377685546875,0.20928438007831573,0.9982449748786166,4.038776534062345,-0.1083191982936114
29,10.3,250,500.0,1894,475136,0.019020513,-0.002526189618947683,0.0005,140,0.1,0.02579345703125,1.0338871479034424,0.9992415340966545,3.0224254858447237,-0.07373855926416581
30,10.18,260,500.0,1884,491520,0.056066334,0.016183421088317117,0.0005,145,0.1,0.0541259765625,0.07707187533378601,0.9992144901189022,2.08200051492895,-0.04039874936961496
31,10.15,270,500.0,1876,507904,0.00018603237,-9.765735740074888e-06,0.0005,150,0.1,0.0031494140625,0.0476803258061409,0.9992340980097651,1.12553734924295,-0.027883929776544393
