time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates
3,500.0,35.46875,5092,16384,1,,,,,,,,,,
11,500.0,35.234375,2857,32768,2,8.660820960998535,-0.6903393180575221,-0.004535897918503906,149.00396634042264,0.002767196,0.030887901782989502,0.0005,0.1,0.14339599609375,5
19,500.0,38.15625,2467,49152,3,1.16703462600708,-0.6843456606846303,-0.002404517001195927,57.150633700564505,0.0025345732,0.15133213996887207,0.0005,0.1,0.11533203125,10
28,500.0,36.78,2295,65536,4,3.0185723304748535,-0.6745905557647347,-0.004107388238116983,22.425777231529356,0.0031274455,0.7912875562906265,0.0005,0.1,0.16221923828125,15
37,500.0,41.45,2210,81920,5,0.3095937967300415,-0.6696111034136265,-0.004896618770180794,16.13490201421082,0.003238914,0.9135609492659569,0.0005,0.1,0.15115966796875,20
45,500.0,42.57,2156,98304,6,0.3945087194442749,-0.6638000464532524,-0.0068150991050060835,7.62004054095596,0.0035443727,0.9609578214585781,0.0005,0.1,0.19027099609375,25
54,500.0,50.01,2119,114688,7,0.23816731572151184,-0.6540774426423013,-0.009470077210789896,3.832947077136487,0.0039151814,0.9815396554768085,0.0005,0.1,0.20318603515625,30
62,500.0,60.68,2103,131072,8,0.4024624526500702,-0.6400473050307482,-0.010685515838849824,2.9397284613922237,0.00468913,0.9844410540536046,0.0005,0.1,0.235107421875,35
71,500.0,70.86,2075,147456,9,0.2701381742954254,-0.616830812767148,-0.00881453115016484,2.6846660514362157,0.004471026,0.9858929198235273,0.0005,0.1,0.2057373046875,40
79,500.0,83.29,2062,163840,10,0.19360150396823883,-0.6013648011721671,-0.007154033970255114,2.1832584287039936,0.0038297311,0.9888149630278349,0.0005,0.1,0.19805908203125,45
88,500.0,118.96,2037,180224,11,0.11233597248792648,-0.5879884344059974,-0.008085952969304344,1.60130511817988,0.005537277,0.9923781529068947,0.0005,0.1,0.23922119140625,50
96,500.0,155.76,2027,196608,12,0.38286715745925903,-0.5776996539440006,-0.004484771779971197,2.1190280044684187,0.004218898,0.9902802286669612,0.0005,0.1,0.20831298828125,55
105,500.0,200.32,2018,212992,13,0.0538998544216156,-0.5566414623754099,-0.004112405188607227,1.3329246067791245,0.005580252,0.99309723963961,0.0005,0.1,0.22506103515625,60
114,500.0,249.44,2007,229376,14,0.20216217637062073,-0.5359955575317145,-0.00353460790383906,1.348617134464439,0.004928028,0.9933776250109076,0.0005,0.1,0.2283447265625,65
123,500.0,315.99,1990,245760,15,0.031176025047898293,-0.506911734957248,-0.0007962215075167478,0.721367852014373,0.0039056153,0.9928562357090414,0.0005,0.1,0.1711181640625,70
131,500.0,370.58,1991,262144,16,0.043921615928411484,-0.48955929165240375,-0.0014529474520713847,0.4206647818820784,0.0035090402,0.9913877202197909,0.0005,0.1,0.1757080078125,75
140,500.0,411.02,1982,278528,17,-0.0024070600047707558,-0.4737337408820167,-0.00046706985754099153,0.2527119075668452,0.0026776907,0.9848385602235794,0.0005,0.1,0.1167724609375,80
150,500.0,438.78,1964,294912,18,-0.0022120384965091944,-0.45885368320159614,-0.00018336149332753848,0.14972660912608263,0.0037568705,0.9858843982219696,0.0005,0.1,0.14412841796875,85
161,500.0,448.23,1932,311296,19,-0.0033646319061517715,-0.42722907236311586,-0.0004435118582478026,0.06390759305450047,0.0018044559,0.9375839047133923,0.0005,0.1,0.08411865234375,90
169,500.0,461.34,1930,327680,20,-0.0017407024279236794,-0.4184949408750981,0.00028711716850011727,0.18406637088319258,0.0032035718,0.9732329398393631,0.0005,0.1,0.12855224609375,95
177,500.0,439.67,1935,344064,21,-0.0034037798177450895,-0.3847015521489084,-0.00156511735622189,0.0233698731091863,0.0037800858,0.967338640242815,0.0005,0.1,0.10677490234375,100
185,500.0,419.73,1941,360448,22,0.005013755057007074,-0.38256537150591613,-0.0016810859307042846,0.014047308995213826,0.0018544374,0.991068341769278,0.0005,0.1,0.07742919921875,105
193,500.0,422.23,1944,376832,23,-0.005255590192973614,-0.35603889550548046,-0.003714038256021013,0.005692742169003395,0.003968944,0.9950679307803512,0.0005,0.1,0.1240234375,110
205,500.0,450.54,1916,393216,24,-0.002707393141463399,-0.3214686444378458,-0.0031078097978024743,0.0037634818793321756,0.0049995147,0.9941208339296281,0.0005,0.1,0.12880859375,115
214,500.0,486.86,1906,409600,25,0.00010253550135530531,-0.29903058318886905,-0.001523420277680998,0.00430591880215161,0.0034459007,0.9917100863531232,0.0005,0.1,0.11280517578125,120
223,500.0,496.53,1908,425984,26,-0.0015084247570484877,-0.29167561357608063,-0.0002898479274335841,0.002930224505303158,0.0018138075,0.9938191422261298,0.0005,0.1,0.07449951171875,125
231,500.0,499.82,1910,442368,27,-0.003262884449213743,-0.2769948579953052,9.200900994983385e-05,0.003516729949069486,0.0012625416,0.9899911200627685,0.0005,0.1,0.0683837890625,130
239,500.0,499.19,1913,458752,28,-0.0007143630646169186,-0.2708700463408604,0.0003325707114072429,0.004143475593889434,0.0014760009,0.9870611932128668,0.0005,0.1,0.06322021484375,135
249,500.0,498.19,1901,475136,29,0.022949328646063805,-0.26742416217457504,0.0004561757365081576,0.003987630262082575,0.001557437,0.9869748391211033,0.0005,0.1,0.0673828125,140
258,500.0,497.42,1899,491520,30,-0.0007070666761137545,-0.2582912944373675,0.0005684889889380429,0.003384272261996557,0.0019646233,0.9899408351629972,0.0005,0.1,0.07108154296875,145
