time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction
16384,500.0,33.71875,3,1,4704,,,,,,,,,,
32768,500.0,34.546875,12,2,2624,-0.006705332810452091,27.066569470614194,-0.6900268887169659,0.005759477615356445,5,2.992105722427368,0.1,0.0005,0.0033139517,0.18114013671875
49152,500.0,34.416666666666664,24,3,2027,-0.011932614231955085,9.112860766611993,-0.6818737592082471,0.39895325899124146,10,0.324086993932724,0.1,0.0005,0.0037857778,0.24375
65536,500.0,34.73,34,4,1911,-0.014911909184593241,4.069904663972556,-0.6635303387884051,0.6786395907402039,15,0.8920745253562927,0.1,0.0005,0.004381095,0.28917236328125
81920,500.0,36.8,44,5,1834,-0.01510727073855378,3.7834963918663562,-0.633847835380584,0.6741464138031006,20,0.2536366581916809,0.1,0.0005,0.0059925225,0.34769287109375
98304,500.0,33.64,53,6,1854,-0.014404736430878983,3.9084585515316577,-0.5953584752511233,0.6802544295787811,25,0.42998677492141724,0.1,0.0005,0.008468252,0.3734619140625
114688,500.0,29.05,61,7,1879,-0.01074623989607062,2.7322603897657247,-0.5545254437718541,0.7265993356704712,30,0.07496096193790436,0.1,0.0005,0.0099835675,0.3177978515625
131072,500.0,23.54,68,8,1901,-0.009442970766212967,2.605096937995404,-0.5079335938906298,0.8239371180534363,35,0.14634659886360168,0.1,0.0005,0.014850294,0.28699951171875
147456,500.0,21.18,76,9,1917,-0.005260194055881584,1.8670564313884825,-0.4687900269869715,0.8299818933010101,40,0.18247036635875702,0.1,0.0005,0.012514035,0.234423828125
163840,500.0,20.93,84,10,1933,-0.00330172201656751,1.7860192206688226,-0.4490150723373517,0.8522612452507019,45,0.5968210101127625,0.1,0.0005,0.009259013,0.22425537109375
180224,500.0,20.33,92,11,1944,-0.0014762072871235433,1.3177972198172938,-0.4013335317140445,0.8795864433050156,50,0.06968072801828384,0.1,0.0005,0.007903481,0.1633056640625
196608,500.0,19.99,100,12,1954,-0.0005546385560592171,1.0182766630663536,-0.3560349619132467,0.8926845639944077,55,0.17523005604743958,0.1,0.0005,0.0051992782,0.128759765625
212992,500.0,20.0,108,13,1964,-0.000605529821041273,1.1172186740324832,-0.3105935072991997,0.8704744726419449,60,0.0006688926368951797,0.1,0.0005,0.008528121,0.13609619140625
229376,500.0,19.64,116,14,1973,0.00015261317130352837,0.783801112594665,-0.27685239439597353,0.9216324687004089,65,0.01773238554596901,0.1,0.0005,0.0073885825,0.15062255859375
245760,500.0,19.79,124,15,1979,0.0008302981723318226,0.8062712066137465,-0.24568179367342963,0.9254617318511009,70,0.18938672542572021,0.1,0.0005,0.0055799745,0.11298828125
262144,500.0,20.26,132,16,1983,0.0016610200326795167,0.8540566100709839,-0.24378993435529991,0.9194113612174988,75,0.14513349533081055,0.1,0.0005,0.0039143823,0.1062255859375
