time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance
3,31.9375,16384,1,5453,500.0,,,,,,,,,,
9,36.6875,32768,2,3322,500.0,3.0762813091278076,94.65814173296094,0.076123046875,5,0.0005,0.1,-0.002173920463246759,-0.6910270378924906,0.002021206,-0.023297429084777832
17,38.96875,49152,3,2883,500.0,0.7189983129501343,10.279255007766187,0.088720703125,10,0.0005,0.1,-0.0022983463097261845,-0.6865957603789866,0.00220895,0.6620071530342102
24,44.02,65536,4,2674,500.0,0.2797950506210327,4.065153983840719,0.19251708984375,15,0.0005,0.1,-0.007991933004086604,-0.6761319631710648,0.0032024602,0.9009739607572556
32,47.69,81920,5,2558,500.0,0.29925474524497986,3.0238167995586993,0.262548828125,20,0.0005,0.1,-0.013501972063932045,-0.6658948508556932,0.0038493273,0.9485134556889534
38,53.58,98304,6,2522,500.0,0.1460074484348297,2.167483089864254,0.27894287109375,25,0.0005,0.1,-0.015505984343326418,-0.6462217947933823,0.004528672,0.966403529047966
46,57.87,114688,7,2452,500.0,0.1609095185995102,1.5379343638662248,0.264111328125,30,0.0005,0.1,-0.013655562539133826,-0.626803129632026,0.0053274618,0.9715079832822084
54,62.71,131072,8,2398,500.0,0.0649011880159378,1.4267305349232628,0.27933349609375,35,0.0005,0.1,-0.00910365886229556,-0.6100548630114645,0.006085255,0.9692067783325911
62,70.33,147456,9,2365,500.0,0.07035280764102936,0.7002437472809107,0.22215576171875,40,0.0005,0.1,-0.00844129262077331,-0.5939626060891896,0.0053171134,0.9832775052636862
70,77.78,163840,10,2327,500.0,0.038538843393325806,0.7190617335028946,0.1786865234375,45,0.0005,0.1,-0.00413808942707874,-0.5761944381985813,0.0044365684,0.9823548868298531
77,85.96,180224,11,2312,500.0,0.05757508426904678,0.433619846982765,0.17962646484375,50,0.0005,0.1,-0.0035785161786407115,-0.5634091323241591,0.0042812685,0.9853785485029221
85,88.41,196608,12,2290,500.0,0.018799947574734688,0.5227880978200119,0.21864013671875,55,0.0005,0.1,-0.0013377481845964212,-0.5631609513889998,0.00477669,0.9824812468141317
93,82.67,212992,13,2280,500.0,0.057327255606651306,0.37570830615295564,0.2127197265625,60,0.0005,0.1,-0.0019127916459183325,-0.526112181157805,0.006836231,0.9862541276961565
100,76.96,229376,14,2283,500.0,0.025485096499323845,0.3730472329625627,0.175048828125,65,0.0005,0.1,-0.0011976001143011671,-0.5181168117793277,0.004668708,0.9854976544156671
107,70.17,245760,15,2287,500.0,-0.0035471348091959953,0.2696441948966822,0.1827880859375,70,0.0005,0.1,-0.001491290046578797,-0.49803371815942227,0.004080643,0.9897456476464868
115,63.72,262144,16,2277,500.0,0.017444388940930367,0.1903355368267512,0.15218505859375,75,0.0005,0.1,-0.0010420542250358267,-0.4692074664868414,0.004729978,0.9920862428843975
122,56.21,278528,17,2279,500.0,0.026669472455978394,0.19072918066813144,0.1447509765625,80,0.0005,0.1,-0.00036213199800840814,-0.44781562304124234,0.003792828,0.9920090744271874
128,50.32,294912,18,2287,500.0,0.02461874485015869,0.21546360342472326,0.16546630859375,85,0.0005,0.1,0.00037132006800675297,-0.44023531884886324,0.0040190583,0.9902552701532841
135,46.63,311296,19,2293,500.0,0.08184273540973663,0.21499962951638735,0.163818359375,90,0.0005,0.1,-1.5369776883744633e-05,-0.4270512767834589,0.0038963882,0.990418623201549
142,42.43,327680,20,2297,500.0,0.05312774330377579,0.24537480757862795,0.1604736328125,95,0.0005,0.1,0.0009954971048500739,-0.40939818697515873,0.004912465,0.9888224061578512
149,40.57,344064,21,2302,500.0,0.0425485335290432,0.3468563625079696,0.13250732421875,100,0.0005,0.1,0.0017934931101990514,-0.40865344188641756,0.0036061935,0.9838411100208759
157,37.7,360448,22,2293,500.0,0.028111224994063377,0.3649267225380754,0.12606201171875,105,0.0005,0.1,0.00204670961429656,-0.4030036710202694,0.0037956564,0.9820043779909611
164,36.5,376832,23,2293,500.0,0.011399700306355953,0.2863583260856103,0.14835205078125,110,0.0005,0.1,0.0024308801882398255,-0.3914306323742494,0.0036529743,0.9887155005708337
171,34.35,393216,24,2297,500.0,0.02111034095287323,0.4008113590825815,0.14534912109375,115,0.0005,0.1,0.002825477186752323,-0.3965720064006746,0.0037274905,0.9829999580979347
177,33.74,409600,25,2301,500.0,0.011253302916884422,0.24599907096417156,0.14539794921875,120,0.0005,0.1,0.002320582119318715,-0.36102885752916336,0.004706275,0.9892515623942018
184,33.14,425984,26,2306,500.0,0.05726270377635956,0.325535214933916,0.1173095703125,125,0.0005,0.1,0.0023203222604934125,-0.3519367974484339,0.0039088763,0.9848599620163441
191,31.93,442368,27,2309,500.0,-0.00039612874388694763,0.35878255359857575,0.14610595703125,130,0.0005,0.1,0.002066596909389773,-0.3385529874241911,0.0049277013,0.9845490278676152
198,31.32,458752,28,2314,500.0,0.030925380066037178,0.2708239990170114,0.1385498046875,135,0.0005,0.1,0.0034395997779938627,-0.3316366400802508,0.0044988166,0.9865773795172572
206,32.19,475136,29,2305,500.0,0.019114956259727478,0.22040783237171127,0.139404296875,140,0.0005,0.1,0.00276955442623148,-0.30595922607462855,0.004420669,0.9894033167511225
214,33.08,491520,30,2296,500.0,0.020984748378396034,0.2605660138848179,0.1325927734375,145,0.0005,0.1,0.002366814705419529,-0.292277479369659,0.0055626724,0.9875280139967799
221,34.17,507904,31,2293,500.0,0.005506706424057484,0.29776125949720156,0.12423095703125,150,0.0005,0.1,0.0034571553184832736,-0.28965371594531464,0.0052223867,0.985111671499908
228,32.98,524288,32,2290,500.0,0.004698897711932659,0.41258508294267815,0.12755126953125,155,0.0005,0.1,0.003981240697339672,-0.2885406136047095,0.005897075,0.9808945264667273
236,32.76,540672,33,2287,500.0,-0.0036809672601521015,0.33327002561854896,0.123681640625,160,0.0005,0.1,0.0038066091592554585,-0.27839739362243565,0.0052556815,0.9852453200146556
243,31.97,557056,34,2285,500.0,0.0003682337701320648,0.3051975021371618,0.12359619140625,165,0.0005,0.1,0.003958027358930849,-0.2762583639938384,0.005436351,0.9863463481888175
251,32.46,573440,35,2284,500.0,0.025512751191854477,0.2553056977885717,0.11729736328125,170,0.0005,0.1,0.0028764868528924127,-0.2556986590614542,0.00513319,0.9885091613978148
258,32.24,589824,36,2284,500.0,0.015403586439788342,0.24278111679450376,0.1121337890625,175,0.0005,0.1,0.002243186975920253,-0.2454135262290947,0.005707575,0.9889246122911572
265,32.3,606208,37,2281,500.0,0.1132291853427887,0.27736274642229547,0.13489990234375,180,0.0005,0.1,0.003136164077750436,-0.2582301392336376,0.0077145286,0.9873999617993832
273,32.14,622592,38,2278,500.0,0.01398191787302494,0.24965124244554318,0.1330322265625,185,0.0005,0.1,0.012776389330429083,-0.24314023251645267,0.011219234,0.9866845281794667
281,31.44,638976,39,2272,500.0,0.04920082539319992,0.2341812990125618,0.102490234375,190,0.0005,0.1,0.0034987567696589394,-0.22734446115791798,0.0049259253,0.9882091293111444
288,31.66,655360,40,2271,500.0,-3.4365803003311157e-07,0.3135862151655601,0.11085205078125,195,0.0005,0.1,0.003569252500710718,-0.2384877911536023,0.007991342,0.9842646662145853
296,31.43,671744,41,2269,500.0,-0.0016942566726356745,0.32754643214138923,0.1161376953125,200,0.0005,0.1,0.0045261204018970606,-0.24019312203163282,0.0066130366,0.9846397675573826
303,31.28,688128,42,2267,500.0,0.033984385430812836,0.3187832693016389,0.11461181640625,205,0.0005,0.1,0.0039980682926398,-0.234248969622422,0.0063552745,0.9858935493975878
