time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/loss
1,5424,16384,500.0,3,31.65625,,,,,,,,,,
2,3250,32768,500.0,10,36.359375,0.07789306640625,0.003679931163787842,-0.6911698201205582,-0.0014309761634649476,0.1,5,0.0018212092,0.0005,121.58264133185148,2.9881081581115723
3,2860,49152,500.0,17,36.166666666666664,0.12230224609375,0.7377660274505615,-0.6853956571314483,-0.002568464245268842,0.1,10,0.0024937475,0.0005,24.107943557947873,0.5509505271911621
4,2669,65536,500.0,24,37.33,0.1609619140625,0.9256941601634026,-0.679587914980948,-0.0051957194880742465,0.1,15,0.0028993743,0.0005,14.455398047529162,0.6052791476249695
5,2567,81920,500.0,31,36.86,0.21939697265625,0.9462103806436062,-0.6607129039708525,-0.007586267558417603,0.1,20,0.0038671517,0.0005,12.370426602382214,0.34956109523773193
6,2514,98304,500.0,39,35.19,0.27109375,0.9232665002346039,-0.6407665882259608,-0.009438350011896546,0.1,25,0.0051653343,0.0005,6.060880005545914,0.8355410099029541
7,2485,114688,500.0,46,33.29,0.28980712890625,0.8234018385410309,-0.6133728145621717,-0.00757926836668048,0.1,30,0.0064479033,0.0005,5.2279800434596835,0.501658022403717
8,2454,131072,500.0,53,30.11,0.22593994140625,0.9411141239106655,-0.5855236563831567,-0.004408183761734108,0.1,35,0.0043922504,0.0005,7.2886661366093906,0.8401150107383728
9,2421,147456,500.0,60,29.0,0.24302978515625,0.9489911012351513,-0.533697260520421,-0.004221026358754898,0.1,40,0.008725973,0.0005,4.56811460328754,0.4708159863948822
10,2395,163840,500.0,68,27.61,0.2236328125,0.8961199671030045,-0.4911931202514097,-0.002803914369906124,0.1,45,0.007950738,0.0005,4.728449496813118,0.4693355858325958
11,2360,180224,500.0,76,27.24,0.156982421875,0.9106409102678299,-0.4422573419753462,-0.0027120707629364913,0.1,50,0.009368753,0.0005,3.4728531969012693,0.2431766390800476
12,2346,196608,500.0,83,25.46,0.1489013671875,0.9494347348809242,-0.4212458933936432,0.0003593569503209437,0.1,55,0.0041475706,0.0005,2.6308898569317534,0.15876257419586182
13,2330,212992,500.0,91,25.37,0.12880859375,0.8352993726730347,-0.3722561791772023,-0.0005607577420960296,0.1,60,0.0058787987,0.0005,3.2361916359397584,0.5164234042167664
14,2329,229376,500.0,98,24.14,0.11109619140625,0.8876855224370956,-0.3248358519747853,0.0010453205132762377,0.1,65,0.0062445276,0.0005,4.373853407672141,0.23549161851406097
15,2322,245760,500.0,105,24.29,0.11917724609375,0.8584175109863281,-0.2872864865581505,0.0011347322542860638,0.1,70,0.0056232414,0.0005,2.97332093178411,0.27702856063842773
16,2301,262144,500.0,113,24.95,0.11590576171875,0.8183324038982391,-0.2519463735166937,0.002520209600425005,0.1,75,0.0070153605,0.0005,2.4366020920715528,0.0799151360988617
17,2297,278528,500.0,121,24.65,0.0823974609375,0.8385545164346695,-0.23628780831350013,0.002469752099023026,0.1,80,0.003921666,0.0005,2.933970597491134,0.44724953174591064
18,2285,294912,500.0,129,24.41,0.07449951171875,0.8462526798248291,-0.2287708573974669,0.0020332370635514963,0.1,85,0.0032244069,0.0005,2.602073953632498,0.025758514180779457
19,2286,311296,500.0,136,24.2,0.0782958984375,0.8986856937408447,-0.20222139180405066,0.0030119643742182235,0.1,90,0.0043407204,0.0005,2.9076493514177857,0.03157482296228409
20,2289,327680,500.0,143,24.62,0.07318115234375,0.8801978081464767,-0.1967521212354768,0.0023473518484934176,0.1,95,0.0029969725,0.0005,3.245450827703462,0.1114274337887764
21,2295,344064,500.0,149,25.58,0.07042236328125,0.8806248977780342,-0.2129633819742594,0.0023550532731860586,0.1,100,0.002921635,0.0005,3.9291202936234186,0.1542900800704956
22,2302,360448,500.0,156,25.57,0.06964111328125,0.9034214839339256,-0.18682601142209024,0.0028044798516020817,0.1,105,0.0018240833,0.0005,4.838974647398572,0.3567326068878174
23,2303,376832,500.0,163,25.31,0.09503173828125,0.9028654173016548,-0.19096932350075804,0.004059947751375148,0.1,110,0.008925631,0.0005,6.039829143375391,0.08190975338220596
24,2297,393216,500.0,171,24.68,0.070361328125,0.9083140641450882,-0.19313964993343688,0.0022717941369137405,0.1,115,0.005299705,0.0005,5.370873398211552,0.06174696981906891
