rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range
500.0,3,16384,5336,1,30.28125,,,,,,,,,,
500.0,10,32768,3136,2,31.65625,0.0028677168,-0.00393313687563932,4.026020526885986,0.0005,-0.6908275100402534,139.5393968194723,0.12890625,-0.009700417518615723,5,0.1
500.0,17,49152,2739,3,30.65625,0.003034423,-0.005731698384079209,3.9047539234161377,0.0005,-0.6843713385052979,34.961074114590886,0.17200927734375,0.4636616110801697,10,0.1
500.0,25,65536,2567,4,32.95,0.003135287,-0.007458240662526805,1.294782280921936,0.0005,-0.6721438583917916,20.199277256429195,0.19326171875,0.7575494050979614,15,0.1
500.0,33,81920,2445,5,33.34,0.003738651,-0.00842850559620274,1.195084810256958,0.0005,-0.654920024285093,18.000788452103734,0.197412109375,0.8302356153726578,20,0.1
500.0,41,98304,2366,6,36.6,0.0035226266,-0.007545033690985292,1.1315546035766602,0.0005,-0.6343522978946566,16.008510785363615,0.1907958984375,0.7881700843572617,25,0.1
500.0,50,114688,2281,7,35.35,0.0057065627,-0.005364683367588441,0.4726239740848541,0.0005,-0.6223161867354066,16.145633519720285,0.23623046875,0.8055749982595444,30,0.1
500.0,58,131072,2224,8,35.44,0.007543673,-0.003216293998684705,0.23191559314727783,0.0005,-0.6143304519820958,13.886494856420905,0.198876953125,0.785723403096199,35,0.1
500.0,67,147456,2196,9,32.06,0.0070960056,-0.0017358583823806838,0.5350356698036194,0.0005,-0.6046775369439275,14.596489452989772,0.177587890625,0.792953610420227,40,0.1
500.0,75,163840,2176,10,29.79,0.004175026,-0.0014594319500247366,3.02946400642395,0.0005,-0.5940312948543578,18.69307430642657,0.14964599609375,0.8052509427070618,45,0.1
500.0,83,180224,2158,11,25.92,0.0033553191,-0.0015208775480459735,0.6644669771194458,0.0005,-0.582352759130299,19.17491528899409,0.176953125,0.83770452439785,50,0.1
500.0,91,196608,2144,12,24.08,0.0032467383,-0.0013866280516594998,3.6249136924743652,0.0005,-0.579848259082064,20.130459502153098,0.1517578125,0.8380899131298065,55,0.1
500.0,99,212992,2136,13,22.32,0.005980294,0.0004962462897765363,3.011890172958374,0.0005,-0.5487215169006958,15.182373865204863,0.2043701171875,0.8584631979465485,60,0.1
500.0,107,229376,2132,14,20.75,0.0050281254,0.0014514826806589554,0.7809247374534607,0.0005,-0.5295985315460712,13.791674343519844,0.1829833984375,0.8465750217437744,65,0.1
500.0,115,245760,2133,15,20.01,0.0057378905,0.000619828524577315,0.794796347618103,0.0005,-0.5097356872167438,7.985677284258418,0.2189208984375,0.848772868514061,70,0.1
500.0,122,262144,2137,16,19.3,0.0036518825,0.0007731714351393749,1.282799482345581,0.0005,-0.49400108787231145,7.702508089505136,0.160693359375,0.852784663438797,75,0.1
500.0,129,278528,2145,17,18.47,0.0044677854,0.0012421311995240102,2.1438186168670654,0.0005,-0.49104028770234437,10.268732133111916,0.19952392578125,0.8750763460993767,80,0.1
500.0,136,294912,2153,18,17.59,0.005759878,-0.0006547392729771672,0.6543397307395935,0.0005,-0.46335522942245005,12.174090730352328,0.16494140625,0.8844580128788948,85,0.1
500.0,144,311296,2159,19,16.86,0.0073201535,0.0038425892945724628,1.9446742534637451,0.0005,-0.4370347809977829,8.055255156359635,0.18443603515625,0.8937906920909882,90,0.1
