time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/loss,train/value_loss,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction
16384,500.0,1,4948,3,28.0625,,,,,,,,,,
32768,500.0,2,2831,11,28.4375,0.0005,11.865137100219727,225.6707691282034,5,0.1,-0.019837021827697754,-0.0015051067259264528,-0.6914236536715179,0.0019706392,0.06737060546875
49152,500.0,3,2509,19,29.6875,0.0005,3.88433575630188,52.130122150480744,10,0.1,0.2696860432624817,-0.003225744319570367,-0.6897857994772494,0.0024431879,0.1039794921875
65536,500.0,4,2365,27,32.08,0.0005,1.7891654968261719,22.830375481396914,15,0.1,0.7249532341957092,-0.006082487517596746,-0.6820698471739888,0.0025885683,0.144189453125
81920,500.0,5,2290,35,35.86,0.0005,1.2285292148590088,14.640139408037067,20,0.1,0.8702081888914108,-0.00976189121211064,-0.6699735539965331,0.0028869747,0.1798095703125
98304,500.0,6,2241,43,44.33,0.0005,2.659334182739258,28.406110767647625,25,0.1,0.8266842663288116,-0.0067961018970891015,-0.6559738635085524,0.0040066615,0.2135009765625
114688,500.0,7,2202,52,64.72,0.0005,0.9574430584907532,11.334924521669745,30,0.1,0.9420374445617199,-0.011335368289837788,-0.6278419102076441,0.0047129155,0.2309814453125
131072,500.0,8,2177,60,93.71,0.0005,0.7714908123016357,8.28832462877035,35,0.1,0.9647613912820816,-0.012373513779311906,-0.5956935720518232,0.0064726463,0.257568359375
147456,500.0,9,2159,68,129.42,0.0005,0.3743463158607483,5.058853195048869,40,0.1,0.9793608859181404,-0.010005745399394073,-0.5776250157970935,0.007275183,0.28338623046875
163840,500.0,10,2142,76,160.0,0.0005,0.011501915752887726,1.0598100590868853,45,0.1,0.9863154171034694,-0.0149538789080907,-0.5684322677087039,0.011238128,0.4062255859375
180224,500.0,11,2128,84,190.45,0.0005,-0.010430650785565376,0.27839703115459996,50,0.1,0.9899360416457057,-0.01931674538209336,-0.5594888838939369,0.008928714,0.37138671875
196608,500.0,12,2119,92,214.11,0.0005,-0.011225609108805656,0.048449431559856745,55,0.1,0.9924789699725807,-0.015344288180131116,-0.5453580368310214,0.006508731,0.27547607421875
212992,500.0,13,2105,101,231.27,0.0005,-0.014786195941269398,0.027000849512114657,60,0.1,0.9880048157647252,-0.012593275233302847,-0.5147036182694137,0.007213772,0.23751220703125
229376,500.0,14,2098,109,243.16,0.0005,-0.015002305619418621,0.021325655384134733,65,0.1,0.9827533345669508,-0.009523547674871225,-0.4840864687692374,0.00698855,0.210205078125
245760,500.0,15,2090,117,241.41,0.0005,-0.00534627353772521,0.01632150968289352,70,0.1,0.9872066788375378,-0.00759274674783228,-0.45206181313842536,0.0076185744,0.176220703125
262144,500.0,16,2081,125,236.35,0.0005,-0.005563058890402317,0.012831872378228582,75,0.1,0.9905436635017395,-0.007551213063743489,-0.43269399928394703,0.0071734353,0.163720703125
278528,500.0,17,2076,134,223.94,0.0005,0.0071913860738277435,0.01442247923278046,80,0.1,0.9895526459440589,-0.004524345839490707,-0.4060589369619265,0.006077115,0.14197998046875
294912,500.0,18,2071,142,222.01,0.0005,0.016445182263851166,0.01214403463382041,85,0.1,0.9915207345038652,-0.0043896914607103096,-0.3788797999499366,0.0053366204,0.132177734375
311296,500.0,19,2068,150,216.06,0.0005,-0.0025166338309645653,0.011719573006485007,90,0.1,0.9922097441740334,-0.004086414966059238,-0.35769937224686144,0.0062635425,0.1256103515625
327680,500.0,20,2064,158,210.8,0.0005,0.012363609857857227,0.0128486025494567,95,0.1,0.9909507809206843,-0.0021544605389863134,-0.33544721264624966,0.0025234264,0.0991455078125
344064,500.0,21,2061,166,211.01,0.0005,-0.0052011567167937756,0.01048721980623668,100,0.1,0.9925422361120582,-0.0012929467962749185,-0.3108540904824622,0.0025092158,0.0846435546875
360448,500.0,22,2059,174,217.64,0.0005,0.006589908618479967,0.00993247211763446,105,0.1,0.9913876103237271,-0.00037299647428881146,-0.28186126323416827,0.0021536974,0.0916015625
376832,500.0,23,2056,183,226.7,0.0005,-0.006372156552970409,0.0097651828376911,110,0.1,0.988661240786314,-0.00010333656446164241,-0.25652187142986804,0.0023453296,0.08236083984375
393216,500.0,24,2055,191,231.79,0.0005,-0.003271695924922824,0.008623308666210505,115,0.1,0.990143608301878,-0.00025214152392436515,-0.2429970437544398,0.0026482733,0.07904052734375
409600,500.0,25,2052,199,236.14,0.0005,-0.00368512817658484,0.008859656020831608,120,0.1,0.9879182437434793,0.001134701533919724,-0.23085367219755426,0.0015965747,0.07073974609375
425984,500.0,26,2050,207,237.55,0.0005,0.01950535923242569,0.010961655443497875,125,0.1,0.9843100905418396,0.00028797915438190104,-0.2309819444315508,0.0027398518,0.0759765625
442368,500.0,27,2049,215,235.44,0.0005,0.0052529689855873585,0.008475599918438093,130,0.1,0.9870175626128912,0.0006866183627607825,-0.21667660092934965,0.001686699,0.06439208984375
458752,500.0,28,2047,224,233.05,0.0005,0.0009650768479332328,0.011048976060828863,135,0.1,0.9831615164875984,0.0011432877925471984,-0.2137872181716375,0.0016193088,0.06107177734375
475136,500.0,29,2045,232,227.94,0.0005,-0.0032378786709159613,0.00957449401539634,140,0.1,0.9844085210934281,0.0013818795974657404,-0.20928190159029328,0.0014816954,0.07388916015625
491520,500.0,30,2043,240,227.72,0.0005,0.0018353660125285387,0.008439270234339347,145,0.1,0.9866672940552235,0.0013377627268710058,-0.20532944023725577,0.0014894712,0.06412353515625
507904,500.0,31,2032,249,224.81,0.0005,0.002294642385095358,0.009939993636908184,150,0.1,0.9848796706646681,0.0010152776547329267,-0.1996140123810619,0.00097318937,0.0603515625
524288,500.0,32,2019,259,225.02,0.0005,-0.00027226615929976106,0.009746590257964271,155,0.1,0.9852215759456158,0.001145382836511999,-0.19260507334838622,0.0013541823,0.0626220703125
